DATAFLOW,REF_AREA,MEASURE,SECTOR,STANDARD_REVENUE,CTRY_SPECIFIC_REVENUE,UNIT_MEASURE,FREQ,TIME_PERIOD,OBS_VALUE,OBS_STATUS,UNIT_MULT,REVENUE_CODE,DECIMALS,CURRENCY
OECD.CTP.TPS:DSD_REV_COMP_OECD@DF_RSOECD(1.1),NLD,TAX_REV,S13,T_6000,_T,PT_OTR_SECTOR,A,2022,0.31694,A,0,6000,1,_Z
OECD.CTP.TPS:DSD_REV_COMP_OECD@DF_RSOECD(1.1),NLD,TAX_REV,S13,T_1000,_T,PT_OTR_SECTOR,A,2022,32.732319,A,0,1000,1,_Z
OECD.CTP.TPS:DSD_REV_COMP_OECD@DF_RSOECD(1.1),NLD,TAX_REV,S13,T_2000,_T,PT_OTR_SECTOR,A,2022,32.900173,A,0,2000,1,_Z
OECD.CTP.TPS:DSD_REV_COMP_OECD@DF_RSOECD(1.1),NLD,TAX_REV,S13,T_4000,_T,PT_OTR_SECTOR,A,2022,3.906372,A,0,4000,1,_Z
OECD.CTP.TPS:DSD_REV_COMP_OECD@DF_RSOECD(1.1),NLD,TAX_REV,S13,T_5000,_T,PT_OTR_SECTOR,A,2022,30.144196,A,0,5000,1,_Z
OECD.CTP.TPS:DSD_REV_COMP_OECD@DF_RSOECD(1.1),POL,TAX_REV,S13,T_5000,_T,PT_OTR_SECTOR,A,2022,36.523721,A,0,5000,1,_Z
OECD.CTP.TPS:DSD_REV_COMP_OECD@DF_RSOECD(1.1),POL,TAX_REV,S13,T_6000,_T,PT_OTR_SECTOR,A,2022,0.143693,A,0,6000,1,_Z
OECD.CTP.TPS:DSD_REV_COMP_OECD@DF_RSOECD(1.1),POL,TAX_REV,S13,T_4000,_T,PT_OTR_SECTOR,A,2022,3.386109,A,0,4000,1,_Z
OECD.CTP.TPS:DSD_REV_COMP_OECD@DF_RSOECD(1.1),POL,TAX_REV,S13,T_1000,_T,PT_OTR_SECTOR,A,2022,21.191963,A,0,1000,1,_Z
OECD.CTP.TPS:DSD_REV_COMP_OECD@DF_RSOECD(1.1),POL,TAX_REV,S13,T_3000,_T,PT_OTR_SECTOR,A,2022,1.622722,A,0,3000,1,_Z
OECD.CTP.TPS:DSD_REV_COMP_OECD@DF_RSOECD(1.1),POL,TAX_REV,S13,T_2000,_T,PT_OTR_SECTOR,A,2022,37.131792,A,0,2000,1,_Z
OECD.CTP.TPS:DSD_REV_COMP_OECD@DF_RSOECD(1.1),JPN,TAX_REV,S13,T_3000,_T,PT_OTR_SECTOR,A,2022,0,A,0,3000,1,_Z
OECD.CTP.TPS:DSD_REV_COMP_OECD@DF_RSOECD(1.1),JPN,TAX_REV,S13,T_6000,_T,PT_OTR_SECTOR,A,2022,0.244657,A,0,6000,1,_Z
OECD.CTP.TPS:DSD_REV_COMP_OECD@DF_RSOECD(1.1),JPN,TAX_REV,S13,T_1000,_T,PT_OTR_SECTOR,A,2022,32.509529,A,0,1000,1,_Z
OECD.CTP.TPS:DSD_REV_COMP_OECD@DF_RSOECD(1.1),JPN,TAX_REV,S13,T_5000,_T,PT_OTR_SECTOR,A,2022,20.846304,A,0,5000,1,_Z
OECD.CTP.TPS:DSD_REV_COMP_OECD@DF_RSOECD(1.1),JPN,TAX_REV,S13,T_2000,_T,PT_OTR_SECTOR,A,2022,38.528891,A,0,2000,1,_Z
OECD.CTP.TPS:DSD_REV_COMP_OECD@DF_RSOECD(1.1),JPN,TAX_REV,S13,T_4000,_T,PT_OTR_SECTOR,A,2022,7.870619,A,0,4000,1,_Z
OECD.CTP.TPS:DSD_REV_COMP_OECD@DF_RSOECD(1.1),KOR,TAX_REV,S13,T_5000,_T,PT_OTR_SECTOR,A,2022,22.680132,A,0,5000,1,_Z
OECD.CTP.TPS:DSD_REV_COMP_OECD@DF_RSOECD(1.1),KOR,TAX_REV,S13,T_6000,_T,PT_OTR_SECTOR,A,2022,2.241135,A,0,6000,1,_Z
OECD.CTP.TPS:DSD_REV_COMP_OECD@DF_RSOECD(1.1),KOR,TAX_REV,S13,T_3000,_T,PT_OTR_SECTOR,A,2022,0.286724,A,0,3000,1,_Z
OECD.CTP.TPS:DSD_REV_COMP_OECD@DF_RSOECD(1.1),KOR,TAX_REV,S13,T_2000,_T,PT_OTR_SECTOR,A,2022,25.568927,A,0,2000,1,_Z
OECD.CTP.TPS:DSD_REV_COMP_OECD@DF_RSOECD(1.1),KOR,TAX_REV,S13,T_4000,_T,PT_OTR_SECTOR,A,2022,11.871851,A,0,4000,1,_Z
OECD.CTP.TPS:DSD_REV_COMP_OECD@DF_RSOECD(1.1),KOR,TAX_REV,S13,T_1000,_T,PT_OTR_SECTOR,A,2022,37.351231,A,0,1000,1,_Z
OECD.CTP.TPS:DSD_REV_COMP_OECD@DF_RSOECD(1.1),SWE,TAX_REV,S13,T_1000,_T,PT_OTR_SECTOR,A,2022,36.010092,A,0,1000,1,_Z
OECD.CTP.TPS:DSD_REV_COMP_OECD@DF_RSOECD(1.1),SWE,TAX_REV,S13,T_5000,_T,PT_OTR_SECTOR,A,2022,28.775285,A,0,5000,1,_Z
OECD.CTP.TPS:DSD_REV_COMP_OECD@DF_RSOECD(1.1),SWE,TAX_REV,S13,T_2000,_T,PT_OTR_SECTOR,A,2022,20.792322,A,0,2000,1,_Z
OECD.CTP.TPS:DSD_REV_COMP_OECD@DF_RSOECD(1.1),SWE,TAX_REV,S13,T_4000,_T,PT_OTR_SECTOR,A,2022,2.206088,A,0,4000,1,_Z
OECD.CTP.TPS:DSD_REV_COMP_OECD@DF_RSOECD(1.1),SWE,TAX_REV,S13,T_3000,_T,PT_OTR_SECTOR,A,2022,12.084109,A,0,3000,1,_Z
OECD.CTP.TPS:DSD_REV_COMP_OECD@DF_RSOECD(1.1),SWE,TAX_REV,S13,T_6000,_T,PT_OTR_SECTOR,A,2022,0.132104,A,0,6000,1,_Z
OECD.CTP.TPS:DSD_REV_COMP_OECD@DF_RSOECD(1.1),DEU,TAX_REV,S13,T_3000,_T,PT_OTR_SECTOR,A,2022,0,A,0,3000,1,_Z
OECD.CTP.TPS:DSD_REV_COMP_OECD@DF_RSOECD(1.1),AUS,TAX_REV,S13,T_6000,_T,PT_OTR_SECTOR,A,2022,0,A,0,6000,1,_Z
OECD.CTP.TPS:DSD_REV_COMP_OECD@DF_RSOECD(1.1),AUS,TAX_REV,S13,T_2000,_T,PT_OTR_SECTOR,A,2022,0,A,0,2000,1,_Z
OECD.CTP.TPS:DSD_REV_COMP_OECD@DF_RSOECD(1.1),CAN,TAX_REV,S13,T_2000,_T,PT_OTR_SECTOR,A,2022,14.034523,A,0,2000,1,_Z
OECD.CTP.TPS:DSD_REV_COMP_OECD@DF_RSOECD(1.1),CAN,TAX_REV,S13,T_4000,_T,PT_OTR_SECTOR,A,2022,10.353242,A,0,4000,1,_Z
OECD.CTP.TPS:DSD_REV_COMP_OECD@DF_RSOECD(1.1),CAN,TAX_REV,S13,T_5000,_T,PT_OTR_SECTOR,A,2022,21.744979,A,0,5000,1,_Z
OECD.CTP.TPS:DSD_REV_COMP_OECD@DF_RSOECD(1.1),CAN,TAX_REV,S13,T_3000,_T,PT_OTR_SECTOR,A,2022,2.174559,A,0,3000,1,_Z
OECD.CTP.TPS:DSD_REV_COMP_OECD@DF_RSOECD(1.1),CAN,TAX_REV,S13,T_1000,_T,PT_OTR_SECTOR,A,2022,51.582062,A,0,1000,1,_Z
OECD.CTP.TPS:DSD_REV_COMP_OECD@DF_RSOECD(1.1),CAN,TAX_REV,S13,T_6000,_T,PT_OTR_SECTOR,A,2022,0.110635,A,0,6000,1,_Z
OECD.CTP.TPS:DSD_REV_COMP_OECD@DF_RSOECD(1.1),AUS,TAX_REV,S13,T_5000,_T,PT_OTR_SECTOR,A,2022,23.779961,A,0,5000,1,_Z
OECD.CTP.TPS:DSD_REV_COMP_OECD@DF_RSOECD(1.1),AUS,TAX_REV,S13,T_4000,_T,PT_OTR_SECTOR,A,2022,9.281021,A,0,4000,1,_Z
OECD.CTP.TPS:DSD_REV_COMP_OECD@DF_RSOECD(1.1),AUS,TAX_REV,S13,T_3000,_T,PT_OTR_SECTOR,A,2022,4.687909,A,0,3000,1,_Z
OECD.CTP.TPS:DSD_REV_COMP_OECD@DF_RSOECD(1.1),AUS,TAX_REV,S13,T_1000,_T,PT_OTR_SECTOR,A,2022,62.25111,A,0,1000,1,_Z
OECD.CTP.TPS:DSD_REV_COMP_OECD@DF_RSOECD(1.1),DEU,TAX_REV,S13,T_6000,_T,PT_OTR_SECTOR,A,2022,0.023291,A,0,6000,1,_Z
OECD.CTP.TPS:DSD_REV_COMP_OECD@DF_RSOECD(1.1),DEU,TAX_REV,S13,T_2000,_T,PT_OTR_SECTOR,A,2022,36.894365,A,0,2000,1,_Z
OECD.CTP.TPS:DSD_REV_COMP_OECD@DF_RSOECD(1.1),DEU,TAX_REV,S13,T_4000,_T,PT_OTR_SECTOR,A,2022,2.81345,A,0,4000,1,_Z
OECD.CTP.TPS:DSD_REV_COMP_OECD@DF_RSOECD(1.1),DEU,TAX_REV,S13,T_5000,_T,PT_OTR_SECTOR,A,2022,27.34767,A,0,5000,1,_Z
OECD.CTP.TPS:DSD_REV_COMP_OECD@DF_RSOECD(1.1),DEU,TAX_REV,S13,T_1000,_T,PT_OTR_SECTOR,A,2022,32.921222,A,0,1000,1,_Z
OECD.CTP.TPS:DSD_REV_COMP_OECD@DF_RSOECD(1.1),FRA,TAX_REV,S13,T_6000,_T,PT_OTR_SECTOR,A,2022,1.793287,A,0,6000,1,_Z
OECD.CTP.TPS:DSD_REV_COMP_OECD@DF_RSOECD(1.1),FRA,TAX_REV,S13,T_2000,_T,PT_OTR_SECTOR,A,2022,32.355051,A,0,2000,1,_Z
OECD.CTP.TPS:DSD_REV_COMP_OECD@DF_RSOECD(1.1),FRA,TAX_REV,S13,T_4000,_T,PT_OTR_SECTOR,A,2022,8.08674,A,0,4000,1,_Z
OECD.CTP.TPS:DSD_REV_COMP_OECD@DF_RSOECD(1.1),FRA,TAX_REV,S13,T_5000,_T,PT_OTR_SECTOR,A,2022,26.096385,A,0,5000,1,_Z
OECD.CTP.TPS:DSD_REV_COMP_OECD@DF_RSOECD(1.1),FRA,TAX_REV,S13,T_1000,_T,PT_OTR_SECTOR,A,2022,27.401421,A,0,1000,1,_Z
OECD.CTP.TPS:DSD_REV_COMP_OECD@DF_RSOECD(1.1),FRA,TAX_REV,S13,T_3000,_T,PT_OTR_SECTOR,A,2022,4.267116,A,0,3000,1,_Z
