DATAFLOW,REF_AREA,MEASURE,SECTOR,STANDARD_REVENUE,CTRY_SPECIFIC_REVENUE,UNIT_MEASURE,FREQ,TIME_PERIOD,OBS_VALUE,OBS_STATUS,UNIT_MULT,REVENUE_CODE,DECIMALS,CURRENCY
OECD.CTP.TPS:DSD_REV_COMP_OECD@DF_RSOECD(1.1),USA,TAX_REV,S13,T_6000,_T,PT_OTR_SECTOR,A,2022,0,A,0,6000,1,_Z
OECD.CTP.TPS:DSD_REV_COMP_OECD@DF_RSOECD(1.1),NLD,TAX_REV,S13,T_3000,_T,PT_OTR_SECTOR,A,2022,0,A,0,3000,1,_Z
OECD.CTP.TPS:DSD_REV_COMP_OECD@DF_RSOECD(1.1),GBR,TAX_REV,S13,T_6000,_T,PT_OTR_SECTOR,A,2022,0,A,0,6000,1,_Z
OECD.CTP.TPS:DSD_REV_COMP_OECD@DF_RSOECD(1.1),USA,TAX_REV,S13,T_2000,_T,PT_OTR_SECTOR,A,2022,21.902789,A,0,2000,1,_Z
OECD.CTP.TPS:DSD_REV_COMP_OECD@DF_RSOECD(1.1),USA,TAX_REV,S13,T_3000,_T,PT_OTR_SECTOR,A,2022,0.051128,A,0,3000,1,_Z
OECD.CTP.TPS:DSD_REV_COMP_OECD@DF_RSOECD(1.1),USA,TAX_REV,S13,T_4000,_T,PT_OTR_SECTOR,A,2022,10.367752,A,0,4000,1,_Z
OECD.CTP.TPS:DSD_REV_COMP_OECD@DF_RSOECD(1.1),USA,TAX_REV,S13,T_5000,_T,PT_OTR_SECTOR,A,2022,16.252822,A,0,5000,1,_Z
OECD.CTP.TPS:DSD_REV_COMP_OECD@DF_RSOECD(1.1),USA,TAX_REV,S13,T_1000,_T,PT_OTR_SECTOR,A,2022,51.425509,A,0,1000,1,_Z
OECD.CTP.TPS:DSD_REV_COMP_OECD@DF_RSOECD(1.1),GBR,TAX_REV,S13,T_1000,_T,PT_OTR_SECTOR,A,2022,37.765327,A,0,1000,1,_Z
OECD.CTP.TPS:DSD_REV_COMP_OECD@DF_RSOECD(1.1),GBR,TAX_REV,S13,T_5000,_T,PT_OTR_SECTOR,A,2022,30.570088,A,0,5000,1,_Z
OECD.CTP.TPS:DSD_REV_COMP_OECD@DF_RSOECD(1.1),GBR,TAX_REV,S13,T_3000,_T,PT_OTR_SECTOR,A,2022,0.396565,A,0,3000,1,_Z
OECD.CTP.TPS:DSD_REV_COMP_OECD@DF_RSOECD(1.1),GBR,TAX_REV,S13,T_4000,_T,PT_OTR_SECTOR,A,2022,11.332632,A,0,4000,1,_Z
OECD.CTP.TPS:DSD_REV_COMP_OECD@DF_RSOECD(1.1),GBR,TAX_REV,S13,T_2000,_T,PT_OTR_SECTOR,A,2022,19.935388,A,0,2000,1,_Z
