fiscal_year,coverage_note,individual_income_tax_receipts_millions,total_outlays_millions,total_receipts_millions,deficit_gap_millions,borrowed_share_percent_of_outlays,income_tax_coverage_percent_of_outlays,allocation_method,legal_allocation_status,actual_or_projection,national_defense_percent,human_resources_percent,physical_resources_percent,net_interest_percent,other_functions_percent,offsetting_receipts_percent,category_percent_sum
1950,full_year,15755.0,42562.0,39443.0,3119.0,7.328133076,37.016587566,proportional_outlay_share,modeled_not_legal_dedication,actual,32.244725342,33.412433626,8.615666557,11.305859687,18.690381091,-4.269066303,100.0
1951,full_year,21616.0,45514.0,51616.0,0,0.0,47.493079053,proportional_outlay_share,modeled_not_legal_dedication,actual,51.777475063,24.170584875,8.621523048,10.249593532,10.304521686,-5.123698203,100.0
1952,full_year,27934.0,67686.0,66167.0,1519.0,2.24418639,41.269981976,proportional_outlay_share,modeled_not_legal_dedication,actual,68.092367698,17.35218509,6.178530272,6.945306267,6.420825577,-4.989214904,100.0
1953,full_year,29816.0,76101.0,69608.0,6493.0,8.532082364,39.179511439,proportional_outlay_share,modeled_not_legal_dedication,actual,69.384107962,15.553015072,5.262742934,6.775206633,7.717375593,-4.692448194,100.0
1954,full_year,29542.0,70855.0,69701.0,1154.0,1.628678287,41.693599605,proportional_outlay_share,modeled_not_legal_dedication,actual,69.530731776,18.454590361,3.646884482,6.789923082,6.372168513,-4.794298215,100.0
1955,full_year,28747.0,68444.0,65451.0,2993.0,4.372918006,42.000759745,proportional_outlay_share,modeled_not_legal_dedication,actual,62.42913915,21.781310268,3.991584361,7.086084975,9.815323476,-5.10344223,100.0
1956,full_year,32188.0,70640.0,74587.0,0,0.0,45.566251416,proportional_outlay_share,modeled_not_legal_dedication,actual,60.197624542,22.723990996,4.377185407,7.190079135,10.591882671,-5.080762751,100.0
1957,full_year,35620.0,76578.0,79990.0,0,0.0,46.514664786,proportional_outlay_share,modeled_not_legal_dedication,actual,59.325132545,23.715688579,5.953406984,6.991564157,9.428295333,-5.414087597,100.0
1958,full_year,34724.0,82405.0,79636.0,2769.0,3.360232996,42.138219768,proportional_outlay_share,modeled_not_legal_dedication,actual,56.810183724,27.046574279,6.295658083,6.800475694,8.368322695,-5.321214475,100.0
1959,full_year,36719.0,92098.0,79249.0,12849.0,13.951443028,39.869486851,proportional_outlay_share,modeled_not_legal_dedication,actual,53.220482529,27.02773133,8.483354687,6.256379074,10.020847358,-5.008794979,100.0
1960,full_year,40715.0,92191.0,92492.0,0,0.0,44.163747004,proportional_outlay_share,modeled_not_legal_dedication,actual,52.206265186,28.401596668,8.667780285,7.535360986,8.417216244,-5.228219368,100.0
1961,full_year,41338.0,97723.0,94388.0,3335.0,3.412707346,42.301198285,proportional_outlay_share,modeled_not_legal_dedication,actual,50.756730759,30.533241918,7.934672493,6.872486518,8.821874073,-4.919005761,100.0
1962,full_year,45571.0,106821.0,99676.0,7145.0,6.688759701,42.661087239,proportional_outlay_share,modeled_not_legal_dedication,actual,49.002078224,29.61000543,8.267023647,6.449046077,11.609031847,-4.937185224,100.0
1963,full_year,47588.0,111316.0,106560.0,4756.0,4.27252147,42.750368321,proportional_outlay_share,modeled_not_legal_dedication,actual,47.971971432,30.114539819,7.198490769,6.953240803,12.969500966,-5.20774379,100.0
1964,full_year,48697.0,118528.0,112613.0,5915.0,4.990382019,41.084806965,proportional_outlay_share,modeled_not_legal_dedication,actual,46.197522948,29.776930346,8.038606911,6.917352862,13.885326674,-4.815739741,100.0
1965,full_year,48792.0,118228.0,116817.0,1411.0,1.193456711,41.269411645,proportional_outlay_share,modeled_not_legal_dedication,actual,42.815214541,30.936572245,9.527273342,7.266406719,14.451615086,-4.997081934,100.0
1966,full_year,55446.0,134532.0,130835.0,3697.0,2.748045075,41.213986263,proportional_outlay_share,modeled_not_legal_dedication,actual,43.194606528,32.15344934,9.967814588,6.9767269,12.570150075,-4.86274743,100.0
1967,full_year,61526.0,157464.0,148822.0,8642.0,5.488238582,39.073057969,proportional_outlay_share,modeled_not_legal_dedication,actual,45.354781758,32.561300115,9.319014626,6.520896973,10.876205839,-4.63219931,100.0
1968,full_year,68726.0,178134.0,152973.0,25161.0,14.124760012,38.581068185,proportional_outlay_share,modeled_not_legal_dedication,actual,45.991220093,33.331649208,8.983125063,6.225650353,9.984618321,-4.516263038,100.0
1969,full_year,87249.0,183640.0,186882.0,0,0.0,47.510890873,proportional_outlay_share,modeled_not_legal_dedication,actual,44.923219342,36.163145284,6.463188848,6.915160096,9.884012198,-4.348725768,100.0
1970,full_year,90412.0,195649.0,192807.0,2842.0,1.452601342,46.211327428,proportional_outlay_share,modeled_not_legal_dedication,actual,41.754366237,38.512335867,7.960173576,7.349897009,8.835209993,-4.411982683,100.0
1971,full_year,86230.0,210172.0,187139.0,23033.0,10.959119198,41.02830063,proportional_outlay_share,modeled_not_legal_dedication,actual,37.527358544,43.726566812,8.70049293,7.061359268,7.793140856,-4.80891841,100.0
1972,full_year,94737.0,230681.0,207309.0,23372.0,10.131740369,41.068401819,proportional_outlay_share,modeled_not_legal_dedication,actual,34.321706939,46.475667802,8.4852741,6.709669588,8.161885193,-4.154203622,100.0
1973,full_year,103246.0,245707.0,230799.0,14908.0,6.067389207,42.019966871,proportional_outlay_share,modeled_not_legal_dedication,actual,31.208309084,48.644116773,8.389667368,7.060848897,10.154370856,-5.457312978,100.0
1974,full_year,118952.0,269359.0,263224.0,6135.0,2.277629483,44.161138109,proportional_outlay_share,modeled_not_legal_dedication,actual,29.457712569,50.409676306,9.320646424,7.962978776,9.067081479,-6.218095553,100.0
1975,full_year,122386.0,332332.0,279090.0,53242.0,16.020726262,36.826426585,proportional_outlay_share,modeled_not_legal_dedication,actual,26.030896814,52.130098817,10.666742896,6.994210609,8.270945922,-4.092895057,100.0
1976,full_year,131603.0,371792.0,298060.0,73732.0,19.831518699,35.396942376,proportional_outlay_share,modeled_not_legal_dedication,actual,24.104606877,54.760188492,10.540302104,7.188696906,7.275573439,-3.869367819,100.0
1977,full_year,157626.0,409218.0,355559.0,53659.0,13.112570806,38.518833482,proportional_outlay_share,modeled_not_legal_dedication,actual,23.762581894,54.224021856,9.957015681,7.306845479,8.385485522,-3.635950432,100.0
1978,full_year,180988.0,458746.0,399561.0,59185.0,12.90147489,39.45276907,proportional_outlay_share,modeled_not_legal_dedication,actual,22.778400248,52.824220811,11.463860175,7.7293317,8.630919943,-3.426732876,100.0
1979,full_year,217841.0,504028.0,463302.0,40726.0,8.080106661,43.220019523,proportional_outlay_share,modeled_not_legal_dedication,actual,23.082447801,53.08713008,10.824597046,8.458458657,8.014634108,-3.467267691,100.0
1980,full_year,244069.0,590941.0,517112.0,73829.0,12.493463814,41.301754321,proportional_outlay_share,modeled_not_legal_dedication,actual,22.674852481,53.029659475,11.166089339,8.889719955,7.61429652,-3.374617771,100.0
1981,full_year,285917.0,678241.0,599272.0,78969.0,11.643206471,42.155664432,proportional_outlay_share,modeled_not_legal_dedication,actual,23.22375085,53.376602122,10.451447199,10.13887394,6.943697004,-4.134371116,100.0
1982,full_year,297744.0,745743.0,617766.0,127977.0,17.161005869,39.925818948,proportional_outlay_share,modeled_not_legal_dedication,actual,24.848909075,52.119966262,8.28060069,11.402319566,6.847935549,-3.499731141,100.0
1983,full_year,288938.0,808364.0,600562.0,207802.0,25.706488661,35.743551172,proportional_outlay_share,modeled_not_legal_dedication,actual,25.966396326,52.700392397,7.125873987,11.109846554,7.300547773,-4.203057039,100.0
1984,full_year,298415.0,851805.0,666438.0,185367.0,21.761670805,35.033252916,proportional_outlay_share,modeled_not_legal_dedication,actual,26.697510936,50.724695529,6.804366252,13.043110755,6.481992379,-3.751675851,100.0
1985,full_year,334531.0,946344.0,734037.0,212307.0,22.434442444,35.349830506,proportional_outlay_share,modeled_not_legal_dedication,actual,26.707250836,49.86115015,6.002455761,13.68188802,7.2024397,-3.455184467,100.0
1986,full_year,348959.0,990382.0,769155.0,221227.0,22.337542484,35.234788193,proportional_outlay_share,modeled_not_legal_dedication,actual,27.602783572,48.630225509,5.929227308,13.733791608,7.436726435,-3.332754432,100.0
1987,full_year,392557.0,1004017.0,854287.0,149730.0,14.913094101,39.09864076,proportional_outlay_share,modeled_not_legal_dedication,actual,28.086775423,50.02106538,5.491142082,13.805642733,6.226288997,-3.630914616,100.0
1988,full_year,401181.0,1064416.0,909238.0,155178.0,14.578698554,37.690245167,proportional_outlay_share,modeled_not_legal_dedication,actual,27.278808285,50.114428945,6.447197336,14.261623275,5.370926405,-3.472984247,100.0
1989,full_year,445690.0,1143743.0,991104.0,152639.0,13.345568017,38.967670185,proportional_outlay_share,modeled_not_legal_dedication,actual,26.540490302,49.731714205,7.130360579,14.774385504,5.076577518,-3.253528109,100.0
1990,full_year,466884.0,1252993.0,1031958.0,221035.0,17.64056144,37.261501062,proportional_outlay_share,modeled_not_legal_dedication,actual,23.88844329,49.43858515,10.056783946,14.712508829,4.825877198,-2.922198413,100.0
1991,full_year,467827.0,1324226.0,1054988.0,269238.0,20.331725853,35.328335194,proportional_outlay_share,modeled_not_legal_dedication,actual,20.637353924,52.091600748,10.206649172,14.683909456,5.352489192,-2.972002492,100.0
1992,full_year,475964.0,1381529.0,1091208.0,290321.0,21.014470199,34.45197314,proportional_outlay_share,modeled_not_legal_dedication,actual,21.595348342,55.923473195,5.471184463,14.429230222,5.423990376,-2.843226599,100.0
1993,full_year,509680.0,1409386.0,1154334.0,255052.0,18.096674722,36.163265422,proportional_outlay_share,modeled_not_legal_dedication,actual,20.653249003,58.727062707,3.323503994,14.099260245,5.849568536,-2.652644485,100.0
1994,full_year,543055.0,1461752.0,1258566.0,203186.0,13.900169112,37.150966785,proportional_outlay_share,modeled_not_legal_dedication,actual,19.267290211,59.486834976,4.835088305,13.882792704,5.112016265,-2.584022461,100.0
1995,full_year,590244.0,1515742.0,1351790.0,163952.0,10.816616548,38.940927942,proportional_outlay_share,modeled_not_legal_dedication,actual,17.949162852,60.946256025,3.899938116,15.314875487,4.822654515,-2.932886995,100.0
1996,full_year,656417.0,1560484.0,1453053.0,107431.0,6.884466614,42.064961896,proportional_outlay_share,modeled_not_legal_dedication,actual,17.029844587,61.408768049,4.112185706,15.447322754,4.412669403,-2.410790498,100.0
1997,full_year,737466.0,1601116.0,1579232.0,21884.0,1.366796659,46.0594985,proportional_outlay_share,modeled_not_legal_dedication,actual,16.894591023,62.605645063,3.738142646,15.238371236,4.644385541,-3.121135508,100.0
1998,full_year,828586.0,1652458.0,1721728.0,0,0.0,50.142636,proportional_outlay_share,modeled_not_legal_dedication,actual,16.23000403,62.541075174,4.518662502,14.591475245,4.974770917,-2.855987868,100.0
1999,full_year,879480.0,1701842.0,1827452.0,0,0.0,51.678122881,proportional_outlay_share,modeled_not_legal_dedication,actual,16.14538835,62.154418565,4.811962568,13.50037195,5.764401161,-2.376542593,100.0
2000,full_year,1004462.0,1788950.0,2025191.0,0,0.0,56.148131586,proportional_outlay_share,modeled_not_legal_dedication,actual,16.454512423,62.355962995,4.747198077,12.462561838,6.359987702,-2.380223036,100.0
2001,full_year,994339.0,1862846.0,1991082.0,0,0.0,53.37741284,proportional_outlay_share,modeled_not_legal_dedication,actual,16.358410733,64.117860521,5.233497562,11.067313133,5.746529772,-2.523611721,100.0
2002,full_year,858345.0,2010894.0,1853136.0,157758.0,7.845167373,42.684746188,proportional_outlay_share,modeled_not_legal_dedication,actual,17.328412139,65.520460054,5.187145618,8.501144267,5.819600635,-2.356762713,100.0
2003,full_year,793699.0,2159899.0,1782314.0,377585.0,17.481604464,36.747042339,proportional_outlay_share,modeled_not_legal_dedication,actual,18.738515088,65.644597271,5.351546531,7.087044348,5.696099679,-2.517802916,100.0
2004,full_year,808959.0,2292841.0,1880114.0,412727.0,18.000681251,35.281949337,proportional_outlay_share,modeled_not_legal_dedication,actual,19.879834668,64.802094868,5.07052168,6.98892771,5.811654624,-2.553033551,100.0
2005,full_year,927222.0,2471957.0,2153611.0,318346.0,12.878298449,37.509633056,proportional_outlay_share,modeled_not_legal_dedication,actual,20.03651358,64.160217997,5.264856953,7.442928821,5.734039872,-2.638557224,100.0
2006,full_year,1043908.0,2655050.0,2406869.0,248181.0,9.34750758,39.317828289,proportional_outlay_share,modeled_not_legal_dedication,actual,19.653867159,62.971544792,6.203498992,8.534792188,5.206869927,-2.570573059,100.0
2007,full_year,1163472.0,2728686.0,2567985.0,160701.0,5.889318155,42.638544706,proportional_outlay_share,modeled_not_legal_dedication,actual,20.202324489,64.44094337,4.904485162,8.689493771,4.776584774,-3.013831566,100.0
2008,full_year,1145747.0,2982544.0,2523991.0,458553.0,15.374559437,38.415091278,proportional_outlay_share,modeled_not_legal_dedication,actual,20.655722095,63.557721194,5.427883042,8.474543879,4.775688137,-2.891558348,100.0
2009,full_year,915308.0,3517677.0,2104989.0,1412688.0,40.159684928,26.020240062,proportional_outlay_share,modeled_not_legal_dedication,actual,18.791151092,61.284563648,12.617076554,5.313222334,4.627514124,-2.633527751,100.0
2010,full_year,898549.0,3457079.0,2162706.0,1294373.0,37.441232902,25.991566869,proportional_outlay_share,modeled_not_legal_dedication,actual,20.059853998,69.036114014,2.569654902,5.675137884,5.034539274,-2.375300073,100.0
2011,full_year,1091473.0,3603065.0,2303466.0,1299599.0,36.069263252,30.292903403,proportional_outlay_share,modeled_not_legal_dedication,actual,19.582050282,67.019024081,4.494284727,6.382399429,4.97756771,-2.455326229,100.0
2012,full_year,1132206.0,3526563.0,2449990.0,1076573.0,30.527541972,32.105083618,proportional_outlay_share,modeled_not_legal_dedication,actual,19.221321156,66.597052144,6.104725763,6.249937971,4.76285267,-2.935889703,100.0
2013,full_year,1316405.0,3454881.0,2775106.0,679775.0,19.675786228,38.102759545,proportional_outlay_share,modeled_not_legal_dedication,actual,18.334813847,69.986491575,2.604923295,6.393418471,5.365973531,-2.68562072,100.0
2014,full_year,1394568.0,3506284.0,3021491.0,484793.0,13.82640425,39.77338972,proportional_outlay_share,modeled_not_legal_dedication,actual,17.210727939,72.029105458,1.687398967,6.529876074,5.053926037,-2.511034474,100.0
2015,full_year,1540802.0,3691850.0,3249890.0,441960.0,11.971233934,41.735227596,proportional_outlay_share,modeled_not_legal_dedication,actual,15.971911101,73.319013503,3.119601284,6.045234774,4.680959411,-3.136720073,100.0
2016,full_year,1546075.0,3852615.0,3267965.0,584650.0,15.175406834,40.130534715,proportional_outlay_share,modeled_not_legal_dedication,actual,15.401798519,73.204615566,3.151911105,6.230391565,4.483655906,-2.472372661,100.0
2017,full_year,1587120.0,3981634.0,3316184.0,665450.0,16.712987683,39.861021882,proportional_outlay_share,modeled_not_legal_dedication,actual,15.037117927,72.817265474,3.353547815,6.594051588,4.454025659,-2.256008463,100.0
2018,full_year,1683538.0,4108981.0,3329907.0,779074.0,18.960272632,40.972153437,proportional_outlay_share,modeled_not_legal_dedication,actual,15.362714016,70.513906002,4.057404987,7.908895174,4.538911229,-2.381831408,100.0
2019,full_year,1717857.0,4446952.0,3463364.0,983588.0,22.118250883,38.629987461,proportional_outlay_share,modeled_not_legal_dedication,actual,15.419707701,70.420166442,3.141522553,8.436295242,4.790382266,-2.208074205,100.0
2020,full_year,1608663.0,6516817.0,3421164.0,3095653.0,47.50253076,24.684796274,proportional_outlay_share,modeled_not_legal_dedication,actual,11.118756289,66.591880668,13.029366944,5.301207629,5.590904271,-1.632115801,100.0
2021,full_year,2044377.0,6820705.0,4047111.0,2773594.0,40.664330154,29.973103953,proportional_outlay_share,modeled_not_legal_dedication,actual,11.053065629,70.489942022,8.165153016,5.165712342,6.942068305,-1.815941314,100.0
2022,full_year,2632146.0,6271510.0,4897339.0,1374171.0,21.911325981,41.969892418,proportional_outlay_share,modeled_not_legal_dedication,actual,12.208367682,75.032073615,3.40796714,7.588076875,5.51004463,-3.746529943,100.0
2023,full_year,2176481.0,6128415.0,4440948.0,1687467.0,27.535129393,35.514582482,proportional_outlay_share,modeled_not_legal_dedication,actual,13.38458639,67.953671545,5.885959094,10.741227544,4.187265386,-2.152709958,100.0
2024,full_year,2426067.0,6735261.0,4919884.0,1815377.0,26.953328164,36.020385847,proportional_outlay_share,modeled_not_legal_dedication,actual,12.969400889,67.538644753,4.897642422,13.063769912,3.709165836,-2.178623813,100.0
2025,full_year,2656044.0,7011105.0,5236421.0,1774684.0,25.312472142,37.883386428,proportional_outlay_share,modeled_not_legal_dedication,actual,13.066984448,67.132299402,4.423867564,13.83612141,3.683813037,-2.143085862,100.0
