fiscal_year,coverage_note,individual_income_tax_receipts_millions,total_outlays_millions,total_receipts_millions,deficit_gap_millions,borrowed_share_percent_of_outlays,income_tax_coverage_percent_of_outlays,allocation_method,legal_allocation_status,actual_or_projection,national_defense_percent,human_resources_percent,physical_resources_percent,net_interest_percent,other_functions_percent,offsetting_receipts_percent,category_percent_sum
1940,full_year,892.0,9468.0,6548.0,2920.0,30.840726658,9.421208281,proportional_outlay_share,modeled_not_legal_dedication,actual,17.532741867,43.715673849,24.419095902,9.495141529,8.185466836,-3.348119983,100.0
1941,full_year,1314.0,13653.0,8712.0,4941.0,36.189848385,9.624258405,proportional_outlay_share,modeled_not_legal_dedication,actual,47.132498352,30.454845089,13.052076467,6.906906907,6.460118655,-4.00644547,100.0
1942,full_year,3263.0,35137.0,14634.0,20503.0,58.351595185,9.286507101,proportional_outlay_share,modeled_not_legal_dedication,actual,73.022739562,10.242764038,11.076642855,2.993994934,5.208185104,-2.544326493,100.0
1943,full_year,6505.0,78555.0,24001.0,54554.0,69.446884349,8.280822354,proportional_outlay_share,modeled_not_legal_dedication,actual,84.906308875,3.384846479,8.18906258,1.946382199,3.127705077,-1.554305209,100.0
1944,full_year,19705.0,91304.0,43747.0,47557.0,52.08643652,21.581748883,proportional_outlay_share,modeled_not_legal_dedication,actual,86.67980943,2.111603965,5.992004819,2.430315974,4.231969772,-1.445703959,100.0
1945,full_year,18372.0,92712.0,45159.0,47553.0,51.291095004,19.816205022,proportional_outlay_share,modeled_not_legal_dedication,actual,89.486797826,2.005134179,1.884329968,3.356631288,4.765294676,-1.498187937,100.0
1946,full_year,16098.0,55232.0,39296.0,15936.0,28.852838934,29.146147161,proportional_outlay_share,modeled_not_legal_dedication,actual,77.274455489,9.945141491,1.513587891,7.44301414,6.481632357,-2.657831369,100.0
1947,full_year,17935.0,34496.0,38514.0,0,0.0,51.99153525,proportional_outlay_share,modeled_not_legal_dedication,actual,37.128942486,28.725069573,3.556934137,12.186920223,22.901205937,-4.499072356,100.0
1948,full_year,19315.0,29764.0,41560.0,0,0.0,64.893831474,proportional_outlay_share,modeled_not_legal_dedication,actual,30.58961868,33.153032085,7.535696288,14.584243239,19.657315639,-5.51990593,100.0
1949,full_year,15552.0,38835.0,39415.0,0,0.0,40.046349942,proportional_outlay_share,modeled_not_legal_dedication,actual,33.861207673,27.822840221,7.992790009,11.646710442,23.257370928,-4.580919274,100.0
