decade,start_fiscal_year,end_fiscal_year,year_count,coverage_note,cumulative_individual_income_tax_receipts_millions,cumulative_total_outlays_millions,cumulative_total_receipts_millions,cumulative_deficit_gap_millions,borrowed_share_percent_of_outlays,income_tax_coverage_percent_of_outlays,allocation_method,legal_allocation_status,actual_or_projection,national_defense_percent,human_resources_percent,physical_resources_percent,net_interest_percent,other_functions_percent,offsetting_receipts_percent,category_percent_sum
1940s,1940,1949,10,full_decade,118951.0,479156.0,301586.0,193964.0,40.480344606,24.82510915,proportional_outlay_share,modeled_not_legal_dedication,actual,60.928927843,16.487736382,5.372395025,7.992767818,12.44649604,-3.228323107,100.0
1950s,1950,1959,10,full_decade,292661.0,692883.0,675448.0,30896.0,4.459050085,42.238155648,proportional_outlay_share,modeled_not_legal_dedication,actual,59.538154144,22.812916262,6.004059121,7.333849935,9.336339123,-5.025318583,100.0
1960s,1960,1969,10,full_decade,545648.0,1298577.0,1242058.0,60062.0,4.625216679,42.018917631,proportional_outlay_share,modeled_not_legal_dedication,actual,46.447910451,31.87513331,8.364072441,6.829156118,11.270301346,-4.786573666,100.0
1970s,1970,1979,10,full_decade,1304021.0,3227684.0,2876850.0,350834.0,10.8695275,40.401135923,proportional_outlay_share,modeled_not_legal_dedication,actual,27.793555171,50.561260449,9.92595929,7.500341071,8.412827996,-4.193943979,100.0
1980s,1980,1989,10,full_decade,3338001.0,8823996.0,7258971.0,1565025.0,17.73601212,37.82867762,proportional_outlay_share,modeled_not_legal_dedication,actual,26.185551701,50.821673273,7.269493657,12.780465368,6.528582427,-3.585766426,100.0
1990s,1990,1999,10,full_decade,6155603.0,14861528.0,13524309.0,1532099.0,10.309162019,41.41971808,proportional_outlay_share,modeled_not_legal_dedication,actual,18.512556747,59.335018423,5.219330896,14.574099062,5.110169328,-2.751174456,100.0
2000s,2000,2009,10,full_decade,9655461.0,24471344.0,21289282.0,3546539.0,14.49262043,39.456194151,proportional_outlay_share,modeled_not_legal_dedication,actual,18.858560226,63.826092927,5.966081681,8.55393311,5.420449988,-2.625117932,100.0
2010s,2010,2019,10,full_decade,13908593.0,37629904.0,29340069.0,8289835.0,22.029912699,36.961542607,proportional_outlay_share,modeled_not_legal_dedication,actual,16.819693522,70.788446011,3.389144302,6.750107338,4.784468396,-2.531859569,100.0
2020s,2020,2025,6,partial_decade,13543778.0,39483813.0,26962867.0,12520946.0,31.711592799,34.302102484,proportional_outlay_share,modeled_not_legal_dedication,actual,12.398282833,69.314985557,6.133107934,9.663659007,4.842510372,-2.352545705,100.0
