DATAFLOW,FREQ,REF_AREA,MEASURE,UNIT_MEASURE,SECTOR,EDITION,CATEGORY,TIME_PERIOD,OBS_VALUE,OBS_STATUS,UNIT_MULT,PRICE_BASE,BASE_PER
OECD.GOV.GIP:DSD_GOV@DF_GOV_PF_2025(1.0),A,POL,GGINTN,PT_B1GQ,S13,2025,PF,2022,0.98,A,0,_Z,
OECD.GOV.GIP:DSD_GOV@DF_GOV_PF_2025(1.0),A,SWE,GGINTN,PT_B1GQ,S13,2025,PF,2022,0.09,A,0,_Z,
OECD.GOV.GIP:DSD_GOV@DF_GOV_PF_2025(1.0),A,GBR,GGINTN,PT_B1GQ,S13,2025,PF,2022,3.95,A,0,_Z,
OECD.GOV.GIP:DSD_GOV@DF_GOV_PF_2025(1.0),A,USA,GGINTN,PT_B1GQ,S13,2025,PF,2022,3.31,A,0,_Z,
OECD.GOV.GIP:DSD_GOV@DF_GOV_PF_2025(1.0),A,AUS,GGINTN,PT_B1GQ,S13,2025,PF,2022,1.33,A,0,_Z,
OECD.GOV.GIP:DSD_GOV@DF_GOV_PF_2025(1.0),A,CAN,GGINTN,PT_B1GQ,S13,2025,PF,2022,1.62,A,0,_Z,
OECD.GOV.GIP:DSD_GOV@DF_GOV_PF_2025(1.0),A,FRA,GGINTN,PT_B1GQ,S13,2025,PF,2022,1.87,A,0,_Z,
OECD.GOV.GIP:DSD_GOV@DF_GOV_PF_2025(1.0),A,DEU,GGINTN,PT_B1GQ,S13,2025,PF,2022,0.5,A,0,_Z,
OECD.GOV.GIP:DSD_GOV@DF_GOV_PF_2025(1.0),A,JPN,GGINTN,PT_B1GQ,S13,2025,PF,2022,0.28,A,0,_Z,
OECD.GOV.GIP:DSD_GOV@DF_GOV_PF_2025(1.0),A,KOR,GGINTN,PT_B1GQ,S13,2025,PF,2022,-0.05,A,0,_Z,
OECD.GOV.GIP:DSD_GOV@DF_GOV_PF_2025(1.0),A,NLD,GGINTN,PT_B1GQ,S13,2025,PF,2022,0.42,A,0,_Z,
