DATAFLOW,REF_AREA,FREQ,MEASURE,UNIT_MEASURE,SEX,AGE,OPTIONALITY,TIME_PERIOD,OBS_VALUE,OBS_STATUS,UNIT_MULT,DECIMALS
OECD.ELS.SPD:DSD_PAG@DF_PRR(1.0),JPN,A,GPRR100,PT_EARN_G_PRE_RET_INC,M,_Z,M,2024,36.5,A,0,1
OECD.ELS.SPD:DSD_PAG@DF_PRR(1.0),DEU,A,GPRR100,PT_EARN_G_PRE_RET_INC,M,_Z,M,2024,42.1,A,0,1
OECD.ELS.SPD:DSD_PAG@DF_PRR(1.0),FRA,A,GPRR100,PT_EARN_G_PRE_RET_INC,M,_Z,M,2024,56.6,A,0,1
OECD.ELS.SPD:DSD_PAG@DF_PRR(1.0),CAN,A,GPRR100,PT_EARN_G_PRE_RET_INC,M,_Z,M,2024,37.1,A,0,1
OECD.ELS.SPD:DSD_PAG@DF_PRR(1.0),AUS,A,GPRR100,PT_EARN_G_PRE_RET_INC,M,_Z,M,2024,40.8,A,0,1
OECD.ELS.SPD:DSD_PAG@DF_PRR(1.0),USA,A,GPRR100,PT_EARN_G_PRE_RET_INC,M,_Z,M,2024,39.7,A,0,1
OECD.ELS.SPD:DSD_PAG@DF_PRR(1.0),GBR,A,GPRR100,PT_EARN_G_PRE_RET_INC,M,_Z,M,2024,44.7,A,0,1
OECD.ELS.SPD:DSD_PAG@DF_PRR(1.0),SWE,A,GPRR100,PT_EARN_G_PRE_RET_INC,M,_Z,M,2024,63.7,A,0,1
OECD.ELS.SPD:DSD_PAG@DF_PRR(1.0),POL,A,GPRR100,PT_EARN_G_PRE_RET_INC,M,_Z,M,2024,28.6,A,0,1
OECD.ELS.SPD:DSD_PAG@DF_PRR(1.0),NLD,A,GPRR100,PT_EARN_G_PRE_RET_INC,M,_Z,M,2024,74.7,A,0,1
OECD.ELS.SPD:DSD_PAG@DF_PRR(1.0),KOR,A,GPRR100,PT_EARN_G_PRE_RET_INC,M,_Z,M,2024,33.4,A,0,1
