DATAFLOW,REF_AREA,FREQ,MEASURE,UNIT_MEASURE,SEX,AGE,OPTIONALITY,TIME_PERIOD,OBS_VALUE,OBS_STATUS,UNIT_MULT,DECIMALS
OECD.ELS.SPD:DSD_PAG@DF_PRR(1.0),JPN,A,NPRR100,PT_EARN_N_PRE_RET_INC,M,_Z,M,2024,42.4,A,0,1
OECD.ELS.SPD:DSD_PAG@DF_PRR(1.0),DEU,A,NPRR100,PT_EARN_N_PRE_RET_INC,M,_Z,M,2024,53.3,A,0,1
OECD.ELS.SPD:DSD_PAG@DF_PRR(1.0),FRA,A,NPRR100,PT_EARN_N_PRE_RET_INC,M,_Z,M,2024,70,A,0,1
OECD.ELS.SPD:DSD_PAG@DF_PRR(1.0),CAN,A,NPRR100,PT_EARN_N_PRE_RET_INC,M,_Z,M,2024,45.1,A,0,1
OECD.ELS.SPD:DSD_PAG@DF_PRR(1.0),AUS,A,NPRR100,PT_EARN_N_PRE_RET_INC,M,_Z,M,2024,53,A,0,1
OECD.ELS.SPD:DSD_PAG@DF_PRR(1.0),USA,A,NPRR100,PT_EARN_N_PRE_RET_INC,M,_Z,M,2024,51.3,A,0,1
OECD.ELS.SPD:DSD_PAG@DF_PRR(1.0),GBR,A,NPRR100,PT_EARN_N_PRE_RET_INC,M,_Z,M,2024,54.2,A,0,1
OECD.ELS.SPD:DSD_PAG@DF_PRR(1.0),SWE,A,NPRR100,PT_EARN_N_PRE_RET_INC,M,_Z,M,2024,66.3,A,0,1
OECD.ELS.SPD:DSD_PAG@DF_PRR(1.0),POL,A,NPRR100,PT_EARN_N_PRE_RET_INC,M,_Z,M,2024,40.6,A,0,1
OECD.ELS.SPD:DSD_PAG@DF_PRR(1.0),NLD,A,NPRR100,PT_EARN_N_PRE_RET_INC,M,_Z,M,2024,96,A,0,1
OECD.ELS.SPD:DSD_PAG@DF_PRR(1.0),KOR,A,NPRR100,PT_EARN_N_PRE_RET_INC,M,_Z,M,2024,38.9,A,0,1
