DATAFLOW,REF_AREA,FREQ,MEASURE,STATISTICAL_OPERATION,UNIT_MEASURE,AGE,METHODOLOGY,DEFINITION,POVERTY_LINE,TIME_PERIOD,OBS_VALUE,OBS_STATUS,UNIT_MULT,CURRENCY,DECIMALS,PRICE_BASE,BASE_PER,CONF_STATUS
OECD.WISE.INE:DSD_WISE_IDD@DF_IDD(1.0),NLD,A,PR_INC_DISP,_Z,PT_POP,Y_LT18,METH2012,D_CUR,PL_50,2021,12,A,,,1,,,
OECD.WISE.INE:DSD_WISE_IDD@DF_IDD(1.0),KOR,A,PR_INC_DISP,_Z,PT_POP,Y_LT18,METH2012,D_CUR,PL_50,2021,9.6,A,,,1,,,
OECD.WISE.INE:DSD_WISE_IDD@DF_IDD(1.0),USA,A,PR_INC_DISP,_Z,PT_POP,Y_LT18,METH2012,D_CUR,PL_50,2020,18.59,A,,,1,,,
OECD.WISE.INE:DSD_WISE_IDD@DF_IDD(1.0),FRA,A,PR_INC_DISP,_Z,PT_POP,Y_LT18,METH2012,D_CUR,PL_50,2021,11.9,A,,,1,,,
OECD.WISE.INE:DSD_WISE_IDD@DF_IDD(1.0),POL,A,PR_INC_DISP,_Z,PT_POP,Y_LT18,METH2012,D_CUR,PL_50,2021,8.28716808581117,A,,,1,,,
OECD.WISE.INE:DSD_WISE_IDD@DF_IDD(1.0),GBR,A,PR_INC_DISP,_Z,PT_POP,Y_LT18,METH2012,D_CUR,PL_50,2020,11.9,A,,,1,,,
OECD.WISE.INE:DSD_WISE_IDD@DF_IDD(1.0),SWE,A,PR_INC_DISP,_Z,PT_POP,Y_LT18,METH2012,D_CUR,PL_50,2020,8.7739823,A,,,1,,,
OECD.WISE.INE:DSD_WISE_IDD@DF_IDD(1.0),NLD,A,PR_INC_DISP,_Z,PT_POP,Y_LT18,METH2012,D_CUR,PL_50,2020,10.3,A,,,1,,,
OECD.WISE.INE:DSD_WISE_IDD@DF_IDD(1.0),KOR,A,PR_INC_DISP,_Z,PT_POP,Y_LT18,METH2012,D_CUR,PL_50,2020,9.5,A,,,1,,,
OECD.WISE.INE:DSD_WISE_IDD@DF_IDD(1.0),DEU,A,PR_INC_DISP,_Z,PT_POP,Y_LT18,METH2012,D_CUR,PL_50,2020,10.57,A,,,1,,,
OECD.WISE.INE:DSD_WISE_IDD@DF_IDD(1.0),FRA,A,PR_INC_DISP,_Z,PT_POP,Y_LT18,METH2012,D_CUR,PL_50,2020,11.1,A,,,1,,,
OECD.WISE.INE:DSD_WISE_IDD@DF_IDD(1.0),CAN,A,PR_INC_DISP,_Z,PT_POP,Y_LT18,METH2012,D_CUR,PL_50,2020,7.314,A,,,1,,,
OECD.WISE.INE:DSD_WISE_IDD@DF_IDD(1.0),USA,A,PR_INC_DISP,_Z,PT_POP,Y_LT18,METH2012,D_CUR,PL_50,2021,13.99,A,,,1,,,
OECD.WISE.INE:DSD_WISE_IDD@DF_IDD(1.0),GBR,A,PR_INC_DISP,_Z,PT_POP,Y_LT18,METH2012,D_CUR,PL_50,2021,12.7033616,A,,,1,,,
OECD.WISE.INE:DSD_WISE_IDD@DF_IDD(1.0),SWE,A,PR_INC_DISP,_Z,PT_POP,Y_LT18,METH2012,D_CUR,PL_50,2021,8.769934,A,,,1,,,
OECD.WISE.INE:DSD_WISE_IDD@DF_IDD(1.0),AUS,A,PR_INC_DISP,_Z,PT_POP,Y_LT18,METH2012,D_CUR,PL_50,2020,13.3,A,,,1,,,
OECD.WISE.INE:DSD_WISE_IDD@DF_IDD(1.0),POL,A,PR_INC_DISP,_Z,PT_POP,Y_LT18,METH2012,D_CUR,PL_50,2020,7.12433316742272,A,,,1,,,
OECD.WISE.INE:DSD_WISE_IDD@DF_IDD(1.0),DEU,A,PR_INC_DISP,_Z,PT_POP,Y_LT18,METH2012,D_CUR,PL_50,2021,11.1,A,,,1,,,
OECD.WISE.INE:DSD_WISE_IDD@DF_IDD(1.0),JPN,A,PR_INC_DISP,_Z,PT_POP,Y_LT18,METH2012,D_CUR,PL_50,2021,11.5370734,A,,,1,,,
OECD.WISE.INE:DSD_WISE_IDD@DF_IDD(1.0),CAN,A,PR_INC_DISP,_Z,PT_POP,Y_LT18,METH2012,D_CUR,PL_50,2021,9.528,A,,,1,,,
