DATAFLOW,REF_AREA,FREQ,MEASURE,UNIT_MEASURE,EXPEND_SOURCE,SPENDING_TYPE,PROGRAMME_TYPE,PRICE_BASE,TIME_PERIOD,OBS_VALUE,OBS_STATUS,UNIT_MULT,DECIMALS,CURRENCY,BASE_PER
OECD.ELS.SPD:DSD_SOCX_AGG@DF_SOCX_AGG(1.0),JPN,A,SOCX,PT_B1GQ,ES10,K,TP51,_Z,2022,1.31,A,0,1,_Z,
OECD.ELS.SPD:DSD_SOCX_AGG@DF_SOCX_AGG(1.0),JPN,A,SOCX,PT_B1GQ,ES10,K,TP01,_Z,2022,0.238,A,0,1,_Z,
OECD.ELS.SPD:DSD_SOCX_AGG@DF_SOCX_AGG(1.0),GBR,A,SOCX,PT_B1GQ,ES10,K,TP51,_Z,2022,0.957,A,0,1,_Z,
OECD.ELS.SPD:DSD_SOCX_AGG@DF_SOCX_AGG(1.0),GBR,A,SOCX,PT_B1GQ,ES10,K,TP01,_Z,2022,0.396,A,0,1,_Z,
OECD.ELS.SPD:DSD_SOCX_AGG@DF_SOCX_AGG(1.0),AUS,A,SOCX,PT_B1GQ,ES10,K,TP01,_Z,2022,1.092,A,0,1,_Z,
OECD.ELS.SPD:DSD_SOCX_AGG@DF_SOCX_AGG(1.0),AUS,A,SOCX,PT_B1GQ,ES10,K,TP51,_Z,2022,0.933,A,0,1,_Z,
OECD.ELS.SPD:DSD_SOCX_AGG@DF_SOCX_AGG(1.0),CAN,A,SOCX,PT_B1GQ,ES10,K,TP51,_Z,2022,0.363,A,0,1,_Z,
OECD.ELS.SPD:DSD_SOCX_AGG@DF_SOCX_AGG(1.0),USA,A,SOCX,PT_B1GQ,ES10,K,TP51,_Z,2022,0.607,A,0,1,_Z,
OECD.ELS.SPD:DSD_SOCX_AGG@DF_SOCX_AGG(1.0),USA,A,SOCX,PT_B1GQ,ES10,K,TP01,_Z,2022,0.068,A,0,1,_Z,
OECD.ELS.SPD:DSD_SOCX_AGG@DF_SOCX_AGG(1.0),KOR,A,SOCX,PT_B1GQ,ES10,K,TP51,_Z,2022,1.259,A,0,1,_Z,
