DATAFLOW,FREQ,REF_AREA,SECTOR,COUNTERPART_SECTOR,ACCOUNTING_ENTRY,TRANSACTION,INSTR_ASSET,EXPENDITURE,UNIT_MEASURE,VALUATION,PRICE_BASE,TRANSFORMATION,TABLE_IDENTIFIER,TIME_PERIOD,OBS_VALUE,COUNTERPART_AREA,CONSOLIDATION,REF_YEAR_PRICE,CONF_STATUS,DECIMALS,OBS_STATUS,UNIT_MULT,CURRENCY
OECD.SDD.NAD:DSD_NASEC10@DF_TABLE11(1.1),A,DEU,S13,_Z,D,OTE,_Z,GF03,XDC,S,V,N,T1100,2022,62992,_Z,P,,F,2,P,6,EUR
OECD.SDD.NAD:DSD_NASEC10@DF_TABLE11(1.1),A,DEU,S13,_Z,D,OTE,_Z,GF06,XDC,S,V,N,T1100,2022,18779,_Z,P,,F,2,P,6,EUR
OECD.SDD.NAD:DSD_NASEC10@DF_TABLE11(1.1),A,SWE,S13,_Z,D,OTE,_Z,GF07,XDC,S,V,N,T1100,2022,418273,_Z,P,,F,2,A,6,SEK
OECD.SDD.NAD:DSD_NASEC10@DF_TABLE11(1.1),A,SWE,S13,_Z,D,OTE,_Z,GF09,XDC,S,V,N,T1100,2022,417719,_Z,P,,F,2,A,6,SEK
OECD.SDD.NAD:DSD_NASEC10@DF_TABLE11(1.1),A,SWE,S13,_Z,D,OTE,_Z,GF01,XDC,S,V,N,T1100,2022,299970,_Z,P,,F,2,A,6,SEK
OECD.SDD.NAD:DSD_NASEC10@DF_TABLE11(1.1),A,USA,S13,_Z,D,OTE,_Z,GF01,XDC,S,V,N,T1100,2022,1490974.196,_Z,P,,F,2,A,6,USD
OECD.SDD.NAD:DSD_NASEC10@DF_TABLE11(1.1),A,USA,S13,_Z,D,OTE,_Z,GF08,XDC,S,V,N,T1100,2022,66667.666,_Z,P,,F,2,A,6,USD
OECD.SDD.NAD:DSD_NASEC10@DF_TABLE11(1.1),A,USA,S13,_Z,D,OTE,_Z,GF03,XDC,S,V,N,T1100,2022,479842.514,_Z,P,,F,2,A,6,USD
OECD.SDD.NAD:DSD_NASEC10@DF_TABLE11(1.1),A,USA,S13,_Z,D,OTE,_Z,GF10,XDC,S,V,N,T1100,2022,2163431.605,_Z,P,,F,2,A,6,USD
OECD.SDD.NAD:DSD_NASEC10@DF_TABLE11(1.1),A,USA,S13,_Z,D,OTE,_Z,GF09,XDC,S,V,N,T1100,2022,1475856.37,_Z,P,,F,2,A,6,USD
OECD.SDD.NAD:DSD_NASEC10@DF_TABLE11(1.1),A,USA,S13,_Z,D,OTE,_Z,GF04,XDC,S,V,N,T1100,2022,781385.793,_Z,P,,F,2,A,6,USD
OECD.SDD.NAD:DSD_NASEC10@DF_TABLE11(1.1),A,USA,S13,_Z,D,OTE,_Z,GF02,XDC,S,V,N,T1100,2022,775165.336,_Z,P,,F,2,A,6,USD
OECD.SDD.NAD:DSD_NASEC10@DF_TABLE11(1.1),A,SWE,S13,_Z,D,OTE,_Z,GF10,XDC,S,V,N,T1100,2022,1105941,_Z,P,,F,2,A,6,SEK
OECD.SDD.NAD:DSD_NASEC10@DF_TABLE11(1.1),A,SWE,S13,_Z,D,OTE,_Z,GF08,XDC,S,V,N,T1100,2022,79352,_Z,P,,F,2,A,6,SEK
OECD.SDD.NAD:DSD_NASEC10@DF_TABLE11(1.1),A,AUS,S13,_Z,D,OTE,_Z,GF03,XDC,S,V,N,T1100,2022,49843,_Z,P,,F,2,A,6,AUD
OECD.SDD.NAD:DSD_NASEC10@DF_TABLE11(1.1),A,AUS,S13,_Z,D,OTE,_Z,GF02,XDC,S,V,N,T1100,2022,56704,_Z,P,,F,2,A,6,AUD
OECD.SDD.NAD:DSD_NASEC10@DF_TABLE11(1.1),A,AUS,S13,_Z,D,OTE,_Z,GF09,XDC,S,V,N,T1100,2022,141543,_Z,P,,F,2,A,6,AUD
OECD.SDD.NAD:DSD_NASEC10@DF_TABLE11(1.1),A,SWE,S13,_Z,D,OTE,_Z,GF05,XDC,S,V,N,T1100,2022,36224,_Z,P,,F,2,A,6,SEK
OECD.SDD.NAD:DSD_NASEC10@DF_TABLE11(1.1),A,SWE,S13,_Z,D,OTE,_Z,GF03,XDC,S,V,N,T1100,2022,79835,_Z,P,,F,2,A,6,SEK
OECD.SDD.NAD:DSD_NASEC10@DF_TABLE11(1.1),A,SWE,S13,_Z,D,OTE,_Z,GF04,XDC,S,V,N,T1100,2022,293621,_Z,P,,F,2,A,6,SEK
