DATAFLOW,FREQ,REF_AREA,SECTOR,COUNTERPART_SECTOR,TRANSACTION,INSTR_ASSET,ACTIVITY,EXPENDITURE,UNIT_MEASURE,PRICE_BASE,TRANSFORMATION,TABLE_IDENTIFIER,TIME_PERIOD,OBS_VALUE,REF_YEAR_PRICE,CONF_STATUS,DECIMALS,OBS_STATUS,UNIT_MULT,CURRENCY
OECD.SDD.NAD:DSD_NAMAIN10@DF_TABLE1_EXPENDITURE(2.0),A,NLD,S1,S1,B1GQ,_Z,_Z,_Z,XDC,V,N,T0102,2022,993820,,F,1,A,6,EUR
OECD.SDD.NAD:DSD_NAMAIN10@DF_TABLE1_EXPENDITURE(2.0),A,DEU,S1,S1,B1GQ,_Z,_Z,_Z,XDC,V,N,T0102,2022,3989390,,F,1,P,6,EUR
OECD.SDD.NAD:DSD_NAMAIN10@DF_TABLE1_EXPENDITURE(2.0),A,AUS,S1,S1,B1GQ,_Z,_Z,_Z,XDC,V,N,T0102,2022,2577013,,F,1,A,6,AUD
OECD.SDD.NAD:DSD_NAMAIN10@DF_TABLE1_EXPENDITURE(2.0),A,CAN,S1,S1,B1GQ,_Z,_Z,_Z,XDC,V,N,T0102,2022,2864159,,F,1,A,6,CAD
OECD.SDD.NAD:DSD_NAMAIN10@DF_TABLE1_EXPENDITURE(2.0),A,FRA,S1,S1,B1GQ,_Z,_Z,_Z,XDC,V,N,T0102,2022,2653997.2,,F,1,A,6,EUR
OECD.SDD.NAD:DSD_NAMAIN10@DF_TABLE1_EXPENDITURE(2.0),A,GBR,S1,S1,B1GQ,_Z,_Z,_Z,XDC,V,N,T0102,2022,2580949,,F,1,A,6,GBP
OECD.SDD.NAD:DSD_NAMAIN10@DF_TABLE1_EXPENDITURE(2.0),A,JPN,S1,S1,B1GQ,_Z,_Z,_Z,XDC,V,N,T0102,2022,584900600,,F,1,A,6,JPY
OECD.SDD.NAD:DSD_NAMAIN10@DF_TABLE1_EXPENDITURE(2.0),A,KOR,S1,S1,B1GQ,_Z,_Z,_Z,XDC,V,N,T0102,2022,2323781500,,F,1,A,6,KRW
OECD.SDD.NAD:DSD_NAMAIN10@DF_TABLE1_EXPENDITURE(2.0),A,POL,S1,S1,B1GQ,_Z,_Z,_Z,XDC,V,N,T0102,2022,3100850,,F,1,A,6,PLN
OECD.SDD.NAD:DSD_NAMAIN10@DF_TABLE1_EXPENDITURE(2.0),A,SWE,S1,S1,B1GQ,_Z,_Z,_Z,XDC,V,N,T0102,2022,5816415,,F,1,A,6,SEK
OECD.SDD.NAD:DSD_NAMAIN10@DF_TABLE1_EXPENDITURE(2.0),A,USA,S1,S1,B1GQ,_Z,_Z,_Z,XDC,V,N,T0102,2022,26054614,,F,1,A,6,USD
