Table 1: Chronic Absenteeism by Ethnicity,,,,,,,Chronic Absenteeism by Disability Status,,,,,,,Chronic Absenteeism by English Learner,,,,,
SCHOOL_YEAR,GEOGRAPHIC LEVEL,Students in Category,Chronically Absent Students by Category,% CHRONICALLY ABSENT IN 2022-23,Category,,SCHOOL_YEAR,GEOGRAPHIC LEVEL,Students in Category,Chronically Absent Students by Category,% CHRONICALLY ABSENT IN 2022-23,Category,,SCHOOL_YEAR,GEOGRAPHIC LEVEL,Students in Category,Chronically Absent Students by Category,% CHRONICALLY ABSENT IN 2022-23,Category
2022-2023,UNITED STATES,"48,268,200","13,406,900",28%,Overall,,2022-2023,UNITED STATES,"48,268,200","13,406,900",28%,Overall,,2022-2023,UNITED STATES,"48,268,200","13,406,900",28%,Overall
2022-2023,UNITED STATES,"469,315","216,266",46%,American Indian,,2022-2023,UNITED STATES,"7,088,838","2,554,410",36%,Children with Disabilities,,2022-2023,UNITED STATES,"5,558,716","1,809,887",33%,English Learners
2022-2023,UNITED STATES,"2,617,786","388,057",15%,Asian,,2022-2023,UNITED STATES,"41,179,362","10,852,490",26%,Children without Disabilities,,2022-2023,UNITED STATES,"42,709,484","11,597,013",27%,Non-English Learners
2022-2023,UNITED STATES,"7,072,638","2,617,096",37%,Black,,,,,,,,,,,,,,
2022-2023,UNITED STATES,"13,790,694","4,574,520",33%,Hispanic,,,,,,,,,,,,,,
2022-2023,UNITED STATES,"177,358","79,913",45%,Pacific Islander,,,,,,,,,,,,,,
2022-2023,UNITED STATES,"2,355,987","708,909",30%,Two or more races,,,,,,,,,,,,,,
2022-2023,UNITED STATES,"21,337,242","4,664,363",22%,White,,,,,,,,,,,,,,
