SCHOOL_YEAR,STATE_NAME,STUDENTS IN STATE,STUDENTS CHRONICALLLY ABSENT,PERCENT CHRONICALLY ABSENT
2022-2023,UNITED STATES,48268200,13406900,27.80%
2022-2023,ALABAMA,727685,164755,22.60%
2022-2023,ALASKA,127612,54262,42.50%
2022-2023,ARIZONA,1112835,458493,41.20%
2022-2023,ARKANSAS,476480,107936,22.70%
2022-2023,BUREAU OF INDIAN EDUCATION,36617,19902,54.40%
2022-2023,CALIFORNIA,5837868,1614867,27.70%
2022-2023,COLORADO,838633,281429,33.60%
2022-2023,CONNECTICUT,482362,92878,19.30%
2022-2023,DELAWARE,139183,33882,24.30%
2022-2023,DISTRICT OF COLUMBIA,79094,36908,46.70%
2022-2023,FLORIDA,2807024,949623,33.80%
2022-2023,GEORGIA,1701885,445966,26.20%
2022-2023,HAWAII,168634,56685,33.60%
2022-2023,IDAHO,313626,53057,16.90%
2022-2023,ILLINOIS,1775940,528325,29.70%
2022-2023,INDIANA,1013241,240045,23.70%
2022-2023,IOWA,481581,118757,24.70%
2022-2023,KANSAS,462249,111989,24.20%
2022-2023,KENTUCKY,633275,177393,28.00%
2022-2023,LOUISIANA,692495,145335,21.00%
2022-2023,MAINE,162716,46318,28.50%
2022-2023,MARYLAND,859242,278793,32.40%
2022-2023,MASSACHUSETTS,882811,201406,22.80%
2022-2023,MICHIGAN,1387222,462519,33.30%
2022-2023,MINNESOTA,846192,231125,27.30%
2022-2023,MISSISSIPPI,431945,114533,26.50%
2022-2023,MISSOURI,857065,175336,20.50%
2022-2023,MONTANA,149813,53758,35.90%
2022-2023,NEBRASKA,309723,70104,22.60%
2022-2023,NEVADA,472334,181917,38.50%
2022-2023,NEW HAMPSHIRE,163303,40488,24.80%
2022-2023,NEW JERSEY,1299468,217387,16.70%
2022-2023,NEW MEXICO,303934,131026,43.10%
2022-2023,NEW YORK,2444443,849559,34.80%
2022-2023,NORTH CAROLINA,1519183,436225,28.70%
2022-2023,NORTH DAKOTA,115421,24067,20.90%
2022-2023,OHIO,1635061,503036,30.80%
2022-2023,OKLAHOMA,663245,161011,24.30%
2022-2023,OREGON,545059,238522,43.80%
2022-2023,PENNSYLVANIA,1665050,388752,23.30%
2022-2023,PUERTO RICO,248238,105025,42.30%
2022-2023,RHODE ISLAND,132501,42897,32.40%
2022-2023,SOUTH CAROLINA,762287,192035,25.20%
2022-2023,SOUTH DAKOTA,138089,31092,22.50%
2022-2023,TENNESSEE,972857,230021,23.60%
2022-2023,TEXAS,5250158,1205997,23.00%
2022-2023,UTAH,675367,179010,26.50%
2022-2023,VERMONT,72135,20061,27.80%
2022-2023,VIRGINIA,1226185,234594,19.10%
2022-2023,WASHINGTON,1068632,371002,34.70%
2022-2023,WEST VIRGINIA,236053,79798,33.80%
2022-2023,WISCONSIN,772422,185756,24.00%
2022-2023,WYOMING,91727,31243,34.10%
