fiscal_year,function_code,function_label,subfunction_code,subfunction_label,individual_income_tax_receipts_millions,total_outlays_millions,subfunction_outlays_millions,modeled_income_tax_allocation_millions,allocation_share_percent,outlay_share_percent,allocation_method,legal_allocation_status,actual_or_projection
1962,550,Health,551,Health care services,45571,106821,528,225.248432,0.494280204,0.494284832,proportional_outlay_share,modeled_not_legal_dedication,actual
1962,550,Health,552,Health research and training,45571,106821,580,247.43199,0.542959315,0.542964398,proportional_outlay_share,modeled_not_legal_dedication,actual
1962,550,Health,554,Consumer and occupational health and safety,45571,106821,89,37.968012,0.083316171,0.083316951,proportional_outlay_share,modeled_not_legal_dedication,actual
1962,600,Income Security,601,General retirement and disability insurance (excluding social security),45571,106821,661,281.987147,0.618786392,0.618792185,proportional_outlay_share,modeled_not_legal_dedication,actual
1962,600,Income Security,602,Federal employee retirement and disability,45571,106821,1951,832.31002,1.826402801,1.826419899,proportional_outlay_share,modeled_not_legal_dedication,actual
1962,600,Income Security,603,Unemployment compensation,45571,106821,3809,1624.945601,3.565744884,3.565778265,proportional_outlay_share,modeled_not_legal_dedication,actual
1962,600,Income Security,604,Housing assistance,45571,106821,165,70.390135,0.154462564,0.15446401,proportional_outlay_share,modeled_not_legal_dedication,actual
1962,600,Income Security,605,Food and nutrition assistance,45571,106821,275,117.316892,0.257437606,0.257440016,proportional_outlay_share,modeled_not_legal_dedication,actual
1962,600,Income Security,609,Other income security,45571,106821,2338,997.406882,2.188687724,2.188708213,proportional_outlay_share,modeled_not_legal_dedication,actual
1962,650,Social Security,651,Social security,45571,106821,14365,6128.207813,13.447604426,13.447730315,proportional_outlay_share,modeled_not_legal_dedication,actual
1962,700,Veterans Benefits and Services,701,Income security for veterans,45571,106821,3978,1697.042164,3.723951995,3.723986857,proportional_outlay_share,modeled_not_legal_dedication,actual
1962,700,Veterans Benefits and Services,702,"Veterans education, training, and rehabilitation",45571,106821,151,64.417639,0.141356649,0.141357973,proportional_outlay_share,modeled_not_legal_dedication,actual
1962,700,Veterans Benefits and Services,703,Hospital and medical care for veterans,45571,106821,1084,462.441857,1.014772238,1.014781738,proportional_outlay_share,modeled_not_legal_dedication,actual
1962,700,Veterans Benefits and Services,704,Veterans housing,45571,106821,242,103.238865,0.226545094,0.226547214,proportional_outlay_share,modeled_not_legal_dedication,actual
1962,700,Veterans Benefits and Services,705,Other veterans benefits and services,45571,106821,172,73.376383,0.161015521,0.161017028,proportional_outlay_share,modeled_not_legal_dedication,actual
1962,750,Administration of Justice,751,Federal law enforcement activities,45571,106821,269,114.75725,0.251820786,0.251823143,proportional_outlay_share,modeled_not_legal_dedication,actual
1962,750,Administration of Justice,752,Federal litigative and judicial activities,45571,106821,111,47.353364,0.103911179,0.103912152,proportional_outlay_share,modeled_not_legal_dedication,actual
1962,750,Administration of Justice,753,Federal correctional activities,45571,106821,49,20.903737,0.045870701,0.04587113,proportional_outlay_share,modeled_not_legal_dedication,actual
1962,800,General Government,801,Legislative functions,45571,106821,178,75.936024,0.166632342,0.166633902,proportional_outlay_share,modeled_not_legal_dedication,actual
1962,800,General Government,802,Executive direction and management,45571,106821,12,5.119283,0.011233641,0.011233746,proportional_outlay_share,modeled_not_legal_dedication,actual
1962,800,General Government,803,Central fiscal operations,45571,106821,492,209.890584,0.460579281,0.460583593,proportional_outlay_share,modeled_not_legal_dedication,actual
1962,800,General Government,804,General property and records management,45571,106821,403,171.922572,0.377263111,0.377266642,proportional_outlay_share,modeled_not_legal_dedication,actual
1962,800,General Government,805,Central personnel management,45571,106821,22,9.385351,0.020595009,0.020595201,proportional_outlay_share,modeled_not_legal_dedication,actual
1962,800,General Government,806,General purpose fiscal assistance,45571,106821,212,90.440658,0.198460991,0.198462849,proportional_outlay_share,modeled_not_legal_dedication,actual
1962,800,General Government,808,Other general government,45571,106821,28,11.944993,0.026211829,0.026212074,proportional_outlay_share,modeled_not_legal_dedication,actual
1962,800,General Government,809,Deductions for offsetting receipts,45571,106821,-299,-127.555457,-0.279904889,-0.279907509,proportional_outlay_share,modeled_not_legal_dedication,actual
1962,900,Net Interest,901,Interest on Treasury debt securities (gross),45571,106821,9120,3890.654734,8.537567168,8.537647092,proportional_outlay_share,modeled_not_legal_dedication,actual
1962,900,Net Interest,902,Interest received by on-budget trust funds,45571,106821,-824,-351.524068,-0.771376683,-0.771383904,proportional_outlay_share,modeled_not_legal_dedication,actual
1962,900,Net Interest,903,Interest received by off-budget trust funds,45571,106821,-609,-259.803589,-0.570107281,-0.570112618,proportional_outlay_share,modeled_not_legal_dedication,actual
1962,900,Net Interest,908,Other interest,45571,106821,-797,-340.005682,-0.74610099,-0.746107975,proportional_outlay_share,modeled_not_legal_dedication,actual
1962,950,Undistributed Offsetting Receipts,951,"Employer share, employee retirement (on-budget)",45571,106821,-5042,-2150.951883,-4.720001498,-4.720045684,proportional_outlay_share,modeled_not_legal_dedication,actual
