fiscal_year,function_code,function_label,subfunction_code,subfunction_label,individual_income_tax_receipts_millions,total_outlays_millions,subfunction_outlays_millions,modeled_income_tax_allocation_millions,allocation_share_percent,outlay_share_percent,allocation_method,legal_allocation_status,actual_or_projection
1971,500,"Education, Training, Employment, and Social Services",504,Training and employment,86230,210172,1952,800.880049,0.928771947,0.928763108,proportional_outlay_share,modeled_not_legal_dedication,actual
1971,500,"Education, Training, Employment, and Social Services",505,Other labor services,86230,210172,157,64.415045,0.074701432,0.074700721,proportional_outlay_share,modeled_not_legal_dedication,actual
1971,500,"Education, Training, Employment, and Social Services",506,Social services,86230,210172,2677,1098.33806,1.273730789,1.273718669,proportional_outlay_share,modeled_not_legal_dedication,actual
1971,550,Health,551,Health care services,86230,210172,4766,1955.427416,2.267688062,2.267666483,proportional_outlay_share,modeled_not_legal_dedication,actual
1971,550,Health,552,Health research and training,86230,210172,1801,738.926726,0.856925346,0.856917192,proportional_outlay_share,modeled_not_legal_dedication,actual
1971,550,Health,554,Consumer and occupational health and safety,86230,210172,277,113.649474,0.131798068,0.131796814,proportional_outlay_share,modeled_not_legal_dedication,actual
1971,570,Medicare,571,Medicare,86230,210172,6622,2716.919922,3.1507827,3.150752717,proportional_outlay_share,modeled_not_legal_dedication,actual
1971,600,Income Security,601,General retirement and disability insurance (excluding social security),86230,210172,1613,661.792787,0.76747395,0.767466646,proportional_outlay_share,modeled_not_legal_dedication,actual
1971,600,Income Security,602,Federal employee retirement and disability,86230,210172,6575,2697.636437,3.128419851,3.128390081,proportional_outlay_share,modeled_not_legal_dedication,actual
1971,600,Income Security,603,Unemployment compensation,86230,210172,6166,2529.829091,2.933815483,2.933787564,proportional_outlay_share,modeled_not_legal_dedication,actual
1971,600,Income Security,604,Housing assistance,86230,210172,764,313.4592,0.36351525,0.36351179,proportional_outlay_share,modeled_not_legal_dedication,actual
1971,600,Income Security,605,Food and nutrition assistance,86230,210172,2179,894.015178,1.03677975,1.036769884,proportional_outlay_share,modeled_not_legal_dedication,actual
1971,600,Income Security,609,Other income security,86230,210172,5640,2314.018176,2.683541895,2.683516358,proportional_outlay_share,modeled_not_legal_dedication,actual
1971,650,Social Security,651,Social security,86230,210172,35872,14717.812057,17.068087738,17.067925318,proportional_outlay_share,modeled_not_legal_dedication,actual
1971,700,Veterans Benefits and Services,701,Income security for veterans,86230,210172,5983,2454.746586,2.846743113,2.846716023,proportional_outlay_share,modeled_not_legal_dedication,actual
1971,700,Veterans Benefits and Services,702,"Veterans education, training, and rehabilitation",86230,210172,1644,674.511681,0.782223914,0.78221647,proportional_outlay_share,modeled_not_legal_dedication,actual
1971,700,Veterans Benefits and Services,703,Hospital and medical care for veterans,86230,210172,2034,834.523576,0.967787981,0.967778772,proportional_outlay_share,modeled_not_legal_dedication,actual
1971,700,Veterans Benefits and Services,704,Veterans housing,86230,210172,-171,-70.159062,-0.081362706,-0.081361932,proportional_outlay_share,modeled_not_legal_dedication,actual
1971,700,Veterans Benefits and Services,705,Other veterans benefits and services,86230,210172,287,117.752343,0.136556121,0.136554822,proportional_outlay_share,modeled_not_legal_dedication,actual
1971,750,Administration of Justice,751,Federal law enforcement activities,86230,210172,693,284.328829,0.329733073,0.329729935,proportional_outlay_share,modeled_not_legal_dedication,actual
1971,750,Administration of Justice,752,Federal litigative and judicial activities,86230,210172,287,117.752343,0.136556121,0.136554822,proportional_outlay_share,modeled_not_legal_dedication,actual
1971,750,Administration of Justice,753,Federal correctional activities,86230,210172,94,38.56697,0.044725698,0.044725273,proportional_outlay_share,modeled_not_legal_dedication,actual
1971,750,Administration of Justice,754,Criminal justice assistance,86230,210172,233,95.59685,0.110862635,0.11086158,proportional_outlay_share,modeled_not_legal_dedication,actual
1971,800,General Government,801,Legislative functions,86230,210172,342,140.318123,0.162725413,0.162723864,proportional_outlay_share,modeled_not_legal_dedication,actual
1971,800,General Government,802,Executive direction and management,86230,210172,38,15.590903,0.018080601,0.018080429,proportional_outlay_share,modeled_not_legal_dedication,actual
1971,800,General Government,803,Central fiscal operations,86230,210172,991,406.594328,0.471523053,0.471518566,proportional_outlay_share,modeled_not_legal_dedication,actual
1971,800,General Government,804,General property and records management,86230,210172,573,235.0944,0.272636437,0.272633843,proportional_outlay_share,modeled_not_legal_dedication,actual
1971,800,General Government,805,Central personnel management,86230,210172,51,20.924632,0.02426607,0.024265839,proportional_outlay_share,modeled_not_legal_dedication,actual
1971,800,General Government,806,General purpose fiscal assistance,86230,210172,535,219.503497,0.254555836,0.254553413,proportional_outlay_share,modeled_not_legal_dedication,actual
1971,800,General Government,808,Other general government,86230,210172,126,51.696151,0.059951468,0.059950897,proportional_outlay_share,modeled_not_legal_dedication,actual
1971,800,General Government,809,Deductions for offsetting receipts,86230,210172,-214,-87.801399,-0.101822334,-0.101821365,proportional_outlay_share,modeled_not_legal_dedication,actual
1971,900,Net Interest,901,Interest on Treasury debt securities (gross),86230,210172,20959,8599.203359,9.972403293,9.972308395,proportional_outlay_share,modeled_not_legal_dedication,actual
1971,900,Net Interest,902,Interest received by on-budget trust funds,86230,210172,-2820,-1157.009088,-1.341770947,-1.341758179,proportional_outlay_share,modeled_not_legal_dedication,actual
1971,900,Net Interest,903,Interest received by off-budget trust funds,86230,210172,-1942,-796.77718,-0.924013894,-0.924005101,proportional_outlay_share,modeled_not_legal_dedication,actual
1971,900,Net Interest,908,Other interest,86230,210172,-1356,-556.349051,-0.645191987,-0.645185848,proportional_outlay_share,modeled_not_legal_dedication,actual
1971,950,Undistributed Offsetting Receipts,951,"Employer share, employee retirement (on-budget)",86230,210172,-8417,-3453.384926,-4.004853214,-4.004815104,proportional_outlay_share,modeled_not_legal_dedication,actual
1971,950,Undistributed Offsetting Receipts,952,"Employer share, employee retirement (off-budget)",86230,210172,-640,-262.583623,-0.304515392,-0.304512495,proportional_outlay_share,modeled_not_legal_dedication,actual
1971,950,Undistributed Offsetting Receipts,953,Rents and royalties on the Outer Continental Shelf,86230,210172,-1051,-431.211543,-0.500071371,-0.500066612,proportional_outlay_share,modeled_not_legal_dedication,actual
1972,050,National Defense,051,Department of Defense-Military,94737,230681,77645,31887.560592,33.659035638,33.659035638,proportional_outlay_share,modeled_not_legal_dedication,actual
1972,050,National Defense,053,Atomic energy defense activities,94737,230681,1373,563.869157,0.595194229,0.595194229,proportional_outlay_share,modeled_not_legal_dedication,actual
1972,050,National Defense,054,Defense-related activities,94737,230681,156,64.066707,0.067625856,0.067625856,proportional_outlay_share,modeled_not_legal_dedication,actual
1972,150,International Affairs,151,International development and humanitarian assistance,94737,230681,2394,983.17754,1.037796784,1.037796784,proportional_outlay_share,modeled_not_legal_dedication,actual
1972,150,International Affairs,152,International security assistance,94737,230681,1446,593.84909,0.626839662,0.626839662,proportional_outlay_share,modeled_not_legal_dedication,actual
1972,150,International Affairs,153,Conduct of foreign affairs,94737,230681,452,185.629176,0.195941582,0.195941582,proportional_outlay_share,modeled_not_legal_dedication,actual
1972,150,International Affairs,154,Foreign information and exchange activities,94737,230681,274,112.527421,0.118778746,0.118778746,proportional_outlay_share,modeled_not_legal_dedication,actual
1972,150,International Affairs,155,International financial programs,94737,230681,215,88.297064,0.093202301,0.093202301,proportional_outlay_share,modeled_not_legal_dedication,actual
1972,250,"General Science, Space, and Technology",251,General science and basic research,94737,230681,979,402.059654,0.424395594,0.424395594,proportional_outlay_share,modeled_not_legal_dedication,actual
1972,250,"General Science, Space, and Technology",252,"Space flight, research, and supporting activities",94737,230681,3196,1312.546122,1.385463042,1.385463042,proportional_outlay_share,modeled_not_legal_dedication,actual
1972,270,Energy,271,Energy supply,94737,230681,1089,447.234896,0.472080492,0.472080492,proportional_outlay_share,modeled_not_legal_dedication,actual
1972,270,Energy,276,"Energy information, policy, and regulation",94737,230681,207,85.011592,0.089734308,0.089734308,proportional_outlay_share,modeled_not_legal_dedication,actual
1972,300,Natural Resources and Environment,301,Water resources,94737,230681,1948,800.012467,0.844456197,0.844456197,proportional_outlay_share,modeled_not_legal_dedication,actual
1972,300,Natural Resources and Environment,302,Conservation and land management,94737,230681,522,214.377057,0.226286517,0.226286517,proportional_outlay_share,modeled_not_legal_dedication,actual
1972,300,Natural Resources and Environment,303,Recreational resources,94737,230681,439,180.290284,0.190306094,0.190306094,proportional_outlay_share,modeled_not_legal_dedication,actual
1972,300,Natural Resources and Environment,304,Pollution control and abatement,94737,230681,764,313.76259,0.331193293,0.331193293,proportional_outlay_share,modeled_not_legal_dedication,actual
1972,300,Natural Resources and Environment,306,Other natural resources,94737,230681,567,232.857838,0.245793975,0.245793975,proportional_outlay_share,modeled_not_legal_dedication,actual
1972,350,Agriculture,351,Farm income stabilization,94737,230681,4553,1869.844335,1.973721286,1.973721286,proportional_outlay_share,modeled_not_legal_dedication,actual
1972,350,Agriculture,352,Agricultural research and services,94737,230681,675,277.211712,0.292611875,0.292611875,proportional_outlay_share,modeled_not_legal_dedication,actual
1972,370,Commerce and Housing Credit,371,Mortgage credit,94737,230681,550,225.87621,0.238424491,0.238424491,proportional_outlay_share,modeled_not_legal_dedication,actual
1972,370,Commerce and Housing Credit,372,Postal service,94737,230681,1772,727.73208,0.76816036,0.76816036,proportional_outlay_share,modeled_not_legal_dedication,actual
1972,370,Commerce and Housing Credit,373,Deposit insurance,94737,230681,-597,-245.178359,-0.258798947,-0.258798947,proportional_outlay_share,modeled_not_legal_dedication,actual
1972,370,Commerce and Housing Credit,376,Other advancement of commerce,94737,230681,497,204.109957,0.21544904,0.21544904,proportional_outlay_share,modeled_not_legal_dedication,actual
1972,400,Transportation,401,Ground transportation,94737,230681,5356,2199.623601,2.321821043,2.321821043,proportional_outlay_share,modeled_not_legal_dedication,actual
1972,400,Transportation,402,Air transportation,94737,230681,1907,783.174423,0.826682735,0.826682735,proportional_outlay_share,modeled_not_legal_dedication,actual
1972,400,Transportation,403,Water transportation,94737,230681,1094,449.288316,0.474247987,0.474247987,proportional_outlay_share,modeled_not_legal_dedication,actual
1972,400,Transportation,407,Other transportation,94737,230681,36,14.784625,0.015605967,0.015605967,proportional_outlay_share,modeled_not_legal_dedication,actual
1972,450,Community and Regional Development,451,Community development,94737,230681,2100,862.436438,0.910348056,0.910348056,proportional_outlay_share,modeled_not_legal_dedication,actual
1972,450,Community and Regional Development,452,Area and regional development,94737,230681,928,381.114769,0.402287141,0.402287141,proportional_outlay_share,modeled_not_legal_dedication,actual
1972,450,Community and Regional Development,453,Disaster relief and insurance,94737,230681,396,162.630871,0.171665633,0.171665633,proportional_outlay_share,modeled_not_legal_dedication,actual
1972,500,"Education, Training, Employment, and Social Services",501,"Elementary, secondary, and vocational education",94737,230681,3686,1513.781291,1.597877589,1.597877589,proportional_outlay_share,modeled_not_legal_dedication,actual
1972,500,"Education, Training, Employment, and Social Services",502,Higher education,94737,230681,1448,594.670458,0.62770666,0.62770666,proportional_outlay_share,modeled_not_legal_dedication,actual
1972,500,"Education, Training, Employment, and Social Services",503,Research and general education aids,94737,230681,319,131.008202,0.138286205,0.138286205,proportional_outlay_share,modeled_not_legal_dedication,actual
1972,500,"Education, Training, Employment, and Social Services",504,Training and employment,94737,230681,2894,1188.519549,1.254546322,1.254546322,proportional_outlay_share,modeled_not_legal_dedication,actual
1972,500,"Education, Training, Employment, and Social Services",505,Other labor services,94737,230681,184,75.565859,0.07976383,0.07976383,proportional_outlay_share,modeled_not_legal_dedication,actual
1972,500,"Education, Training, Employment, and Social Services",506,Social services,94737,230681,3998,1641.914705,1.7331293,1.7331293,proportional_outlay_share,modeled_not_legal_dedication,actual
1972,550,Health,551,Health care services,94737,230681,6205,2548.294333,2.689861757,2.689861757,proportional_outlay_share,modeled_not_legal_dedication,actual
1972,550,Health,552,Health research and training,94737,230681,2085,856.276178,0.90384557,0.90384557,proportional_outlay_share,modeled_not_legal_dedication,actual
1972,550,Health,554,Consumer and occupational health and safety,94737,230681,383,157.291979,0.166030146,0.166030146,proportional_outlay_share,modeled_not_legal_dedication,actual
1972,570,Medicare,571,Medicare,94737,230681,7479,3071.505772,3.242139578,3.242139578,proportional_outlay_share,modeled_not_legal_dedication,actual
1972,600,Income Security,601,General retirement and disability insurance (excluding social security),94737,230681,1812,744.159441,0.785500323,0.785500323,proportional_outlay_share,modeled_not_legal_dedication,actual
1972,600,Income Security,602,Federal employee retirement and disability,94737,230681,7672,3150.767788,3.325804899,3.325804899,proportional_outlay_share,modeled_not_legal_dedication,actual
1972,600,Income Security,603,Unemployment compensation,94737,230681,7072,2904.357377,3.065705455,3.065705455,proportional_outlay_share,modeled_not_legal_dedication,actual
1972,600,Income Security,604,Housing assistance,94737,230681,1125,462.01952,0.487686459,0.487686459,proportional_outlay_share,modeled_not_legal_dedication,actual
1972,600,Income Security,605,Food and nutrition assistance,94737,230681,3218,1321.581171,1.395000022,1.395000022,proportional_outlay_share,modeled_not_legal_dedication,actual
1972,600,Income Security,609,Other income security,94737,230681,6740,2768.010283,2.921783762,2.921783762,proportional_outlay_share,modeled_not_legal_dedication,actual
1972,650,Social Security,651,Social security,94737,230681,40157,16491.838118,17.408022334,17.408022334,proportional_outlay_share,modeled_not_legal_dedication,actual
1972,700,Veterans Benefits and Services,701,Income security for veterans,94737,230681,6366,2614.41446,2.759655108,2.759655108,proportional_outlay_share,modeled_not_legal_dedication,actual
1972,700,Veterans Benefits and Services,702,"Veterans education, training, and rehabilitation",94737,230681,1942,797.548363,0.841855203,0.841855203,proportional_outlay_share,modeled_not_legal_dedication,actual
1972,700,Veterans Benefits and Services,703,Hospital and medical care for veterans,94737,230681,2423,995.087376,1.050368257,1.050368257,proportional_outlay_share,modeled_not_legal_dedication,actual
1972,700,Veterans Benefits and Services,704,Veterans housing,94737,230681,-310,-127.312046,-0.134384713,-0.134384713,proportional_outlay_share,modeled_not_legal_dedication,actual
1972,700,Veterans Benefits and Services,705,Other veterans benefits and services,94737,230681,310,127.312046,0.134384713,0.134384713,proportional_outlay_share,modeled_not_legal_dedication,actual
1972,750,Administration of Justice,751,Federal law enforcement activities,94737,230681,843,346.206627,0.36543972,0.36543972,proportional_outlay_share,modeled_not_legal_dedication,actual
1972,750,Administration of Justice,752,Federal litigative and judicial activities,94737,230681,347,142.507354,0.150424179,0.150424179,proportional_outlay_share,modeled_not_legal_dedication,actual
1972,750,Administration of Justice,753,Federal correctional activities,94737,230681,115,47.228662,0.049852394,0.049852394,proportional_outlay_share,modeled_not_legal_dedication,actual
1972,750,Administration of Justice,754,Criminal justice assistance,94737,230681,380,156.059927,0.164729648,0.164729648,proportional_outlay_share,modeled_not_legal_dedication,actual
1972,800,General Government,801,Legislative functions,94737,230681,404,165.916343,0.175133626,0.175133626,proportional_outlay_share,modeled_not_legal_dedication,actual
1972,800,General Government,802,Executive direction and management,94737,230681,59,24.230357,0.025576445,0.025576445,proportional_outlay_share,modeled_not_legal_dedication,actual
1972,800,General Government,803,Central fiscal operations,94737,230681,1155,474.340041,0.500691431,0.500691431,proportional_outlay_share,modeled_not_legal_dedication,actual
1972,800,General Government,804,General property and records management,94737,230681,680,279.265132,0.294779371,0.294779371,proportional_outlay_share,modeled_not_legal_dedication,actual
1972,800,General Government,805,Central personnel management,94737,230681,57,23.408989,0.024709447,0.024709447,proportional_outlay_share,modeled_not_legal_dedication,actual
1972,800,General Government,806,General purpose fiscal assistance,94737,230681,672,275.97966,0.291311378,0.291311378,proportional_outlay_share,modeled_not_legal_dedication,actual
1972,800,General Government,808,Other general government,94737,230681,173,71.048335,0.07499534,0.07499534,proportional_outlay_share,modeled_not_legal_dedication,actual
1972,800,General Government,809,Deductions for offsetting receipts,94737,230681,-241,-98.974848,-0.104473277,-0.104473277,proportional_outlay_share,modeled_not_legal_dedication,actual
1972,900,Net Interest,901,Interest on Treasury debt securities (gross),94737,230681,21849,8973.035113,9.471521278,9.471521278,proportional_outlay_share,modeled_not_legal_dedication,actual
1972,900,Net Interest,902,Interest received by on-budget trust funds,94737,230681,-2983,-1225.070426,-1.293127739,-1.293127739,proportional_outlay_share,modeled_not_legal_dedication,actual
1972,900,Net Interest,903,Interest received by off-budget trust funds,94737,230681,-2106,-864.900542,-0.912949051,-0.912949051,proportional_outlay_share,modeled_not_legal_dedication,actual
1972,900,Net Interest,908,Other interest,94737,230681,-1282,-526.496911,-0.555745813,-0.555745813,proportional_outlay_share,modeled_not_legal_dedication,actual
1972,950,Undistributed Offsetting Receipts,951,"Employer share, employee retirement (on-budget)",94737,230681,-8646,-3550.774021,-3.748032998,-3.748032998,proportional_outlay_share,modeled_not_legal_dedication,actual
1972,950,Undistributed Offsetting Receipts,952,"Employer share, employee retirement (off-budget)",94737,230681,-657,-269.8194,-0.284808892,-0.284808892,proportional_outlay_share,modeled_not_legal_dedication,actual
1972,950,Undistributed Offsetting Receipts,953,Rents and royalties on the Outer Continental Shelf,94737,230681,-279,-114.580841,-0.120946242,-0.120946242,proportional_outlay_share,modeled_not_legal_dedication,actual
1973,050,National Defense,051,Department of Defense-Military,103246,245707,75033,31528.456791,30.537218672,30.537591522,proportional_outlay_share,modeled_not_legal_dedication,actual
1973,050,National Defense,053,Atomic energy defense activities,103246,245707,1409,592.054104,0.573440234,0.573447236,proportional_outlay_share,modeled_not_legal_dedication,actual
1973,050,National Defense,054,Defense-related activities,103246,245707,240,100.846689,0.097676122,0.097677315,proportional_outlay_share,modeled_not_legal_dedication,actual
1973,150,International Affairs,151,International development and humanitarian assistance,103246,245707,1741,731.558691,0.70855887,0.708567521,proportional_outlay_share,modeled_not_legal_dedication,actual
1973,150,International Affairs,152,International security assistance,103246,245707,1427,599.617606,0.580765944,0.580773035,proportional_outlay_share,modeled_not_legal_dedication,actual
1973,150,International Affairs,153,Conduct of foreign affairs,103246,245707,476,200.0126,0.193724309,0.193726674,proportional_outlay_share,modeled_not_legal_dedication,actual
1973,150,International Affairs,154,Foreign information and exchange activities,103246,245707,295,123.957389,0.120060234,0.1200617,proportional_outlay_share,modeled_not_legal_dedication,actual
1973,150,International Affairs,155,International financial programs,103246,245707,211,88.661048,0.085873591,0.085874639,proportional_outlay_share,modeled_not_legal_dedication,actual
1973,250,"General Science, Space, and Technology",251,General science and basic research,103246,245707,961,403.806951,0.391111473,0.391116248,proportional_outlay_share,modeled_not_legal_dedication,actual
1973,250,"General Science, Space, and Technology",252,"Space flight, research, and supporting activities",103246,245707,3071,1290.417427,1.249847381,1.249862641,proportional_outlay_share,modeled_not_legal_dedication,actual
1973,270,Energy,271,Energy supply,103246,245707,1007,423.1359,0.40983273,0.409837734,proportional_outlay_share,modeled_not_legal_dedication,actual
1973,270,Energy,276,"Energy information, policy, and regulation",103246,245707,231,97.064938,0.094013268,0.094014416,proportional_outlay_share,modeled_not_legal_dedication,actual
1973,300,Natural Resources and Environment,301,Water resources,103246,245707,2221,933.25207,0.903911115,0.903922151,proportional_outlay_share,modeled_not_legal_dedication,actual
1973,300,Natural Resources and Environment,302,Conservation and land management,103246,245707,403,169.338399,0.164014489,0.164016491,proportional_outlay_share,modeled_not_legal_dedication,actual
1973,300,Natural Resources and Environment,303,Recreational resources,103246,245707,464,194.970266,0.188840503,0.188842809,proportional_outlay_share,modeled_not_legal_dedication,actual
1973,300,Natural Resources and Environment,304,Pollution control and abatement,103246,245707,1122,471.458272,0.456635872,0.456641447,proportional_outlay_share,modeled_not_legal_dedication,actual
1973,300,Natural Resources and Environment,306,Other natural resources,103246,245707,565,237.409914,0.229945871,0.229948679,proportional_outlay_share,modeled_not_legal_dedication,actual
1973,350,Agriculture,351,Farm income stabilization,103246,245707,4099,1722.377412,1.668226771,1.66824714,proportional_outlay_share,modeled_not_legal_dedication,actual
1973,350,Agriculture,352,Agricultural research and services,103246,245707,722,303.380457,0.293842334,0.293845922,proportional_outlay_share,modeled_not_legal_dedication,actual
1973,370,Commerce and Housing Credit,371,Mortgage credit,103246,245707,-399,-167.657621,-0.162386553,-0.162388536,proportional_outlay_share,modeled_not_legal_dedication,actual
1973,370,Commerce and Housing Credit,372,Postal service,103246,245707,1567,658.444841,0.637743682,0.637751468,proportional_outlay_share,modeled_not_legal_dedication,actual
1973,370,Commerce and Housing Credit,373,Deposit insurance,103246,245707,-805,-338.256603,-0.327621993,-0.327625994,proportional_outlay_share,modeled_not_legal_dedication,actual
1973,370,Commerce and Housing Credit,376,Other advancement of commerce,103246,245707,568,238.670498,0.231166823,0.231169645,proportional_outlay_share,modeled_not_legal_dedication,actual
1973,400,Transportation,401,Ground transportation,103246,245707,5641,2370.31739,2.295795857,2.295823888,proportional_outlay_share,modeled_not_legal_dedication,actual
1973,400,Transportation,402,Air transportation,103246,245707,2159,907.200008,0.878678116,0.878688845,proportional_outlay_share,modeled_not_legal_dedication,actual
1973,400,Transportation,403,Water transportation,103246,245707,1211,508.855586,0.492857434,0.492863451,proportional_outlay_share,modeled_not_legal_dedication,actual
1973,400,Transportation,407,Other transportation,103246,245707,56,23.530894,0.022791095,0.022791373,proportional_outlay_share,modeled_not_legal_dedication,actual
1973,450,Community and Regional Development,451,Community development,103246,245707,2044,858.877636,0.831874975,0.831885131,proportional_outlay_share,modeled_not_legal_dedication,actual
1973,450,Community and Regional Development,452,Area and regional development,103246,245707,981,412.210842,0.39925115,0.399256024,proportional_outlay_share,modeled_not_legal_dedication,actual
1973,450,Community and Regional Development,453,Disaster relief and insurance,103246,245707,1580,663.90737,0.643034472,0.643042323,proportional_outlay_share,modeled_not_legal_dedication,actual
1973,500,"Education, Training, Employment, and Social Services",501,"Elementary, secondary, and vocational education",103246,245707,3573,1501.355085,1.45415327,1.454171025,proportional_outlay_share,modeled_not_legal_dedication,actual
1973,500,"Education, Training, Employment, and Social Services",502,Higher education,103246,245707,1534,644.578422,0.624313215,0.624320837,proportional_outlay_share,modeled_not_legal_dedication,actual
1973,500,"Education, Training, Employment, and Social Services",503,Research and general education aids,103246,245707,429,180.263457,0.174596069,0.1745982,proportional_outlay_share,modeled_not_legal_dedication,actual
1973,500,"Education, Training, Employment, and Social Services",504,Training and employment,103246,245707,3283,1379.498669,1.336127956,1.336144269,proportional_outlay_share,modeled_not_legal_dedication,actual
1973,500,"Education, Training, Employment, and Social Services",505,Other labor services,103246,245707,202,84.879297,0.082210736,0.08221174,proportional_outlay_share,modeled_not_legal_dedication,actual
1973,500,"Education, Training, Employment, and Social Services",506,Social services,103246,245707,3723,1564.384266,1.515200847,1.515219347,proportional_outlay_share,modeled_not_legal_dedication,actual
1973,550,Health,551,Health care services,103246,245707,6527,2742.609751,2.656383542,2.656415975,proportional_outlay_share,modeled_not_legal_dedication,actual
1973,550,Health,552,Health research and training,103246,245707,2423,1018.131366,0.986121851,0.986133891,proportional_outlay_share,modeled_not_legal_dedication,actual
1973,550,Health,554,Consumer and occupational health and safety,103246,245707,406,170.598983,0.16523544,0.165237458,proportional_outlay_share,modeled_not_legal_dedication,actual
1973,570,Medicare,571,Medicare,103246,245707,8052,3383.406422,3.277033902,3.277073913,proportional_outlay_share,modeled_not_legal_dedication,actual
1973,600,Income Security,601,General retirement and disability insurance (excluding social security),103246,245707,2596,1090.825021,1.056530056,1.056542956,proportional_outlay_share,modeled_not_legal_dedication,actual
1973,600,Income Security,602,Federal employee retirement and disability,103246,245707,8889,3735.109251,3.617679378,3.617723549,proportional_outlay_share,modeled_not_legal_dedication,actual
1973,600,Income Security,603,Unemployment compensation,103246,245707,5354,2249.721558,2.178991494,2.179018099,proportional_outlay_share,modeled_not_legal_dedication,actual
1973,600,Income Security,604,Housing assistance,103246,245707,1633,686.177681,0.664604615,0.66461273,proportional_outlay_share,modeled_not_legal_dedication,actual
1973,600,Income Security,605,Food and nutrition assistance,103246,245707,3641,1529.928314,1.481828171,1.481846264,proportional_outlay_share,modeled_not_legal_dedication,actual
1973,600,Income Security,609,Other income security,103246,245707,6153,2585.456994,2.504171584,2.504202159,proportional_outlay_share,modeled_not_legal_dedication,actual
1973,650,Social Security,651,Social security,103246,245707,49090,20627.349884,19.97883684,19.979080775,proportional_outlay_share,modeled_not_legal_dedication,actual
1973,700,Veterans Benefits and Services,701,Income security for veterans,103246,245707,6552,2753.114615,2.666558138,2.666590695,proportional_outlay_share,modeled_not_legal_dedication,actual
1973,700,Veterans Benefits and Services,702,"Veterans education, training, and rehabilitation",103246,245707,2781,1168.561011,1.131822067,1.131835886,proportional_outlay_share,modeled_not_legal_dedication,actual
1973,700,Veterans Benefits and Services,703,Hospital and medical care for veterans,103246,245707,2710,1138.727199,1.102926214,1.10293968,proportional_outlay_share,modeled_not_legal_dedication,actual
1973,700,Veterans Benefits and Services,704,Veterans housing,103246,245707,-368,-154.63159,-0.149770054,-0.149771883,proportional_outlay_share,modeled_not_legal_dedication,actual
1973,700,Veterans Benefits and Services,705,Other veterans benefits and services,103246,245707,340,142.866143,0.138374507,0.138376196,proportional_outlay_share,modeled_not_legal_dedication,actual
1973,750,Administration of Justice,751,Federal law enforcement activities,103246,245707,1020,428.598429,0.41512352,0.415128588,proportional_outlay_share,modeled_not_legal_dedication,actual
1973,750,Administration of Justice,752,Federal litigative and judicial activities,103246,245707,390,163.87587,0.158723699,0.158725637,proportional_outlay_share,modeled_not_legal_dedication,actual
1973,750,Administration of Justice,753,Federal correctional activities,103246,245707,140,58.827235,0.056977738,0.056978434,proportional_outlay_share,modeled_not_legal_dedication,actual
1973,750,Administration of Justice,754,Criminal justice assistance,103246,245707,624,262.201392,0.253957918,0.253961019,proportional_outlay_share,modeled_not_legal_dedication,actual
1973,800,General Government,801,Legislative functions,103246,245707,438,184.045208,0.178258923,0.1782611,proportional_outlay_share,modeled_not_legal_dedication,actual
1973,800,General Government,802,Executive direction and management,103246,245707,71,29.833812,0.028895853,0.028896206,proportional_outlay_share,modeled_not_legal_dedication,actual
1973,800,General Government,803,Central fiscal operations,103246,245707,1182,496.669944,0.481054902,0.481060776,proportional_outlay_share,modeled_not_legal_dedication,actual
1973,800,General Government,804,General property and records management,103246,245707,818,343.719132,0.332912783,0.332916848,proportional_outlay_share,modeled_not_legal_dedication,actual
1973,800,General Government,805,Central personnel management,103246,245707,66,27.73284,0.026860934,0.026861262,proportional_outlay_share,modeled_not_legal_dedication,actual
1973,800,General Government,806,General purpose fiscal assistance,103246,245707,7350,3088.429856,2.991331244,2.991367767,proportional_outlay_share,modeled_not_legal_dedication,actual
1973,800,General Government,808,Other general government,103246,245707,157,65.970543,0.063896463,0.063897243,proportional_outlay_share,modeled_not_legal_dedication,actual
1973,800,General Government,809,Deductions for offsetting receipts,103246,245707,-309,-129.840112,-0.125758007,-0.125759543,proportional_outlay_share,modeled_not_legal_dedication,actual
1973,900,Net Interest,901,Interest on Treasury debt securities (gross),103246,245707,24167,10154.841407,9.835578528,9.835698617,proportional_outlay_share,modeled_not_legal_dedication,actual
1973,900,Net Interest,902,Interest received by on-budget trust funds,103246,245707,-3156,-1326.133963,-1.284441008,-1.28445669,proportional_outlay_share,modeled_not_legal_dedication,actual
1973,900,Net Interest,903,Interest received by off-budget trust funds,103246,245707,-2280,-958.043547,-0.927923161,-0.927934491,proportional_outlay_share,modeled_not_legal_dedication,actual
1973,900,Net Interest,908,Other interest,103246,245707,-1382,-580.708852,-0.562451671,-0.562458538,proportional_outlay_share,modeled_not_legal_dedication,actual
1973,950,Undistributed Offsetting Receipts,951,"Employer share, employee retirement (on-budget)",103246,245707,-8759,-3680.483961,-3.564771479,-3.564815003,proportional_outlay_share,modeled_not_legal_dedication,actual
1973,950,Undistributed Offsetting Receipts,952,"Employer share, employee retirement (off-budget)",103246,245707,-695,-292.035204,-0.282853771,-0.282857224,proportional_outlay_share,modeled_not_legal_dedication,actual
1973,950,Undistributed Offsetting Receipts,953,Rents and royalties on the Outer Continental Shelf,103246,245707,-3956,-1662.289593,-1.610028082,-1.61004774,proportional_outlay_share,modeled_not_legal_dedication,actual
