date,variable,value
FY2026,tf_bal_military_retirement,2016.157
FY2027,tf_bal_military_retirement,2084.417
FY2028,tf_bal_military_retirement,2145.881
FY2029,tf_bal_military_retirement,2218.914
FY2030,tf_bal_military_retirement,2286.753
FY2031,tf_bal_military_retirement,2357.133
FY2032,tf_bal_military_retirement,2431.706
FY2033,tf_bal_military_retirement,2496.473
FY2034,tf_bal_military_retirement,2573.068
FY2035,tf_bal_military_retirement,2661.211
FY2036,tf_bal_military_retirement,2742.886
FY2025,tf_bal_oasi,2400.808
FY2026,tf_bal_oasi,2193.996
FY2027,tf_bal_oasi,1933.547
FY2028,tf_bal_oasi,1620.819
FY2029,tf_bal_oasi,1259.626
FY2030,tf_bal_oasi,848.621
FY2031,tf_bal_oasi,383.773
FY2032,tf_bal_oasi,0.0
FY2033,tf_bal_oasi,0.0
FY2034,tf_bal_oasi,0.0
FY2035,tf_bal_oasi,0.0
FY2036,tf_bal_oasi,0.0
FY2025,tf_bal_other,133.558
FY2026,tf_bal_other,137.309
FY2027,tf_bal_other,141.691
FY2028,tf_bal_other,146.184
FY2029,tf_bal_other,150.754
FY2030,tf_bal_other,154.936
FY2031,tf_bal_other,159.212
FY2032,tf_bal_other,163.703
FY2033,tf_bal_other,168.347
FY2034,tf_bal_other,173.191
FY2035,tf_bal_other,178.138
FY2036,tf_bal_other,183.294
FY2025,tf_bal_railroad,3.516
FY2026,tf_bal_railroad,3.4
FY2027,tf_bal_railroad,3.3
FY2028,tf_bal_railroad,3.2
FY2029,tf_bal_railroad,3.1
FY2030,tf_bal_railroad,3.1
FY2031,tf_bal_railroad,3.1
FY2032,tf_bal_railroad,3.1
FY2033,tf_bal_railroad,3.1
FY2034,tf_bal_railroad,3.1
FY2035,tf_bal_railroad,3.1
FY2036,tf_bal_railroad,3.1
FY2025,tf_bal_railroad_nontreas,26.98
FY2026,tf_bal_railroad_nontreas,26.78
FY2027,tf_bal_railroad_nontreas,26.48
FY2028,tf_bal_railroad_nontreas,26.28
FY2029,tf_bal_railroad_nontreas,26.18
FY2030,tf_bal_railroad_nontreas,26.08
FY2031,tf_bal_railroad_nontreas,25.98
FY2032,tf_bal_railroad_nontreas,25.98
FY2033,tf_bal_railroad_nontreas,26.08
FY2034,tf_bal_railroad_nontreas,26.28
FY2035,tf_bal_railroad_nontreas,26.48
FY2036,tf_bal_railroad_nontreas,26.78
FY2025,tf_bal_smi,153.844
FY2026,tf_bal_smi,167.816
FY2027,tf_bal_smi,190.359
FY2028,tf_bal_smi,188.508
FY2029,tf_bal_smi,217.072
FY2030,tf_bal_smi,235.418
FY2031,tf_bal_smi,257.15
FY2032,tf_bal_smi,284.228
FY2033,tf_bal_smi,277.948
FY2034,tf_bal_smi,295.059
FY2035,tf_bal_smi,353.688
FY2036,tf_bal_smi,395.033
FY2025,tf_bal_ss_total,2616.16
FY2026,tf_bal_ss_total,2450.437
FY2027,tf_bal_ss_total,2233.58
FY2028,tf_bal_ss_total,1966.995
FY2029,tf_bal_ss_total,1656.5259999999998
FY2030,tf_bal_ss_total,1301.034
FY2031,tf_bal_ss_total,896.559
FY2032,tf_bal_ss_total,578.246
FY2033,tf_bal_ss_total,648.361
FY2034,tf_bal_ss_total,722.83
FY2035,tf_bal_ss_total,801.398
FY2036,tf_bal_ss_total,885.027
FY2025,tf_bal_total,6274.791
FY2026,tf_bal_total,6374.318
FY2027,tf_bal_total,6274.601
FY2028,tf_bal_total,6079.59
FY2029,tf_bal_total,5930.624
FY2030,tf_bal_total,5717.097
FY2031,tf_bal_total,5456.162
FY2032,tf_bal_total,5285.175
FY2033,tf_bal_total,5414.553
FY2034,tf_bal_total,5600.083
FY2035,tf_bal_total,5870.603
FY2036,tf_bal_total,6084.62
FY2025,tf_bal_unemployment,89.394
FY2026,tf_bal_unemployment,93.277
FY2027,tf_bal_unemployment,90.992
FY2028,tf_bal_unemployment,84.83
FY2029,tf_bal_unemployment,68.504
FY2030,tf_bal_unemployment,73.284
FY2031,tf_bal_unemployment,78.693
FY2032,tf_bal_unemployment,84.669
FY2033,tf_bal_unemployment,90.785
FY2034,tf_bal_unemployment,96.902
FY2035,tf_bal_unemployment,103.793
FY2036,tf_bal_unemployment,111.808
FY2025,tf_di_begin_balance,177.86109088113994
FY2026,tf_di_begin_balance,215.352
FY2027,tf_di_begin_balance,256.44100000000003
FY2028,tf_di_begin_balance,300.033
FY2029,tf_di_begin_balance,346.177
FY2030,tf_di_begin_balance,396.901
FY2031,tf_di_begin_balance,452.414
FY2032,tf_di_begin_balance,512.787
FY2033,tf_di_begin_balance,578.2460000000001
FY2034,tf_di_begin_balance,648.3620000000001
FY2035,tf_di_begin_balance,722.831
FY2036,tf_di_begin_balance,801.398
FY2025,tf_di_end_balance,215.352
FY2026,tf_di_end_balance,256.44100000000003
FY2027,tf_di_end_balance,300.033
FY2028,tf_di_end_balance,346.177
FY2029,tf_di_end_balance,396.901
FY2030,tf_di_end_balance,452.414
FY2031,tf_di_end_balance,512.787
FY2032,tf_di_end_balance,578.2460000000001
FY2033,tf_di_end_balance,648.3620000000001
FY2034,tf_di_end_balance,722.831
FY2035,tf_di_end_balance,801.398
FY2036,tf_di_end_balance,885.027
FY2025,tf_di_expenditures,-160.199
FY2026,tf_di_expenditures,-166.013
FY2027,tf_di_expenditures,-174.037
FY2028,tf_di_expenditures,-181.224
FY2029,tf_di_expenditures,-187.518
FY2030,tf_di_expenditures,-194.108
FY2031,tf_di_expenditures,-201.0
FY2031,tf_di_expenditures,-937.887
FY2032,tf_di_expenditures,-207.893
FY2033,tf_di_expenditures,-215.59
FY2034,tf_di_expenditures,-223.991
FY2035,tf_di_expenditures,-233.192
FY2036,tf_di_expenditures,-242.901
FY2036,tf_di_expenditures,-2061.4539999999997
FY2025,tf_di_income_excl_interest,190.511
FY2026,tf_di_income_excl_interest,201.413
FY2027,tf_di_income_excl_interest,209.406
FY2028,tf_di_income_excl_interest,217.404
FY2029,tf_di_income_excl_interest,226.075
FY2030,tf_di_income_excl_interest,235.048
FY2031,tf_di_income_excl_interest,244.187
FY2031,tf_di_income_excl_interest,1132.12
FY2032,tf_di_income_excl_interest,253.339
FY2033,tf_di_income_excl_interest,262.657
FY2034,tf_di_income_excl_interest,272.159
FY2035,tf_di_income_excl_interest,282.022
FY2036,tf_di_income_excl_interest,292.298
FY2036,tf_di_income_excl_interest,2494.5949999999993
FY2025,tf_di_interest,6.322
FY2026,tf_di_interest,5.689
FY2027,tf_di_interest,8.223
FY2028,tf_di_interest,9.964
FY2029,tf_di_interest,12.167
FY2030,tf_di_interest,14.573
FY2031,tf_di_interest,17.186
FY2031,tf_di_interest,62.113
FY2032,tf_di_interest,20.013
FY2033,tf_di_interest,23.049
FY2034,tf_di_interest,26.301
FY2035,tf_di_interest,29.737
FY2036,tf_di_interest,34.232
FY2036,tf_di_interest,195.445
FY2025,tf_di_noninterest_surplus,30.311999999999983
FY2026,tf_di_noninterest_surplus,35.4
FY2027,tf_di_noninterest_surplus,35.369
FY2028,tf_di_noninterest_surplus,36.18000000000001
FY2029,tf_di_noninterest_surplus,38.55699999999999
FY2030,tf_di_noninterest_surplus,40.94
FY2031,tf_di_noninterest_surplus,43.18700000000001
FY2031,tf_di_noninterest_surplus,194.233
FY2032,tf_di_noninterest_surplus,45.446
FY2033,tf_di_noninterest_surplus,47.06699999999998
FY2034,tf_di_noninterest_surplus,48.16799999999998
FY2035,tf_di_noninterest_surplus,48.829999999999984
FY2036,tf_di_noninterest_surplus,49.39699999999999
FY2036,tf_di_noninterest_surplus,433.14099999999996
FY2025,tf_di_total_surplus,37.491
FY2026,tf_di_total_surplus,41.089000000000006
FY2027,tf_di_total_surplus,43.592
FY2028,tf_di_total_surplus,46.144000000000005
FY2029,tf_di_total_surplus,50.72399999999999
FY2030,tf_di_total_surplus,55.513
FY2031,tf_di_total_surplus,60.37300000000001
FY2031,tf_di_total_surplus,256.346
FY2032,tf_di_total_surplus,65.459
FY2033,tf_di_total_surplus,70.11599999999999
FY2034,tf_di_total_surplus,74.46899999999998
FY2035,tf_di_total_surplus,78.56699999999998
FY2036,tf_di_total_surplus,83.62899999999999
FY2036,tf_di_total_surplus,628.586
FY2025,tf_hi_begin_balance,234.998
FY2026,tf_hi_begin_balance,252.906
FY2027,tf_hi_begin_balance,277.134
FY2028,tf_hi_begin_balance,297.575
FY2029,tf_hi_begin_balance,290.353
FY2030,tf_hi_begin_balance,324.96
FY2031,tf_hi_begin_balance,333.173
FY2032,tf_hi_begin_balance,336.598
FY2033,tf_hi_begin_balance,333.892
FY2034,tf_hi_begin_balance,286.312
FY2035,tf_hi_begin_balance,255.399
FY2036,tf_hi_begin_balance,251.787
FY2025,tf_hi_end_balance,252.906
FY2026,tf_hi_end_balance,277.134
FY2027,tf_hi_end_balance,297.575
FY2028,tf_hi_end_balance,290.353
FY2029,tf_hi_end_balance,324.96
FY2030,tf_hi_end_balance,333.173
FY2031,tf_hi_end_balance,336.598
FY2032,tf_hi_end_balance,333.892
FY2033,tf_hi_end_balance,286.312
FY2034,tf_hi_end_balance,255.399
FY2035,tf_hi_end_balance,251.787
FY2036,tf_hi_end_balance,209.783
FY2025,tf_hi_expenditures,-449.829
FY2026,tf_hi_expenditures,-474.36
FY2027,tf_hi_expenditures,-503.015
FY2028,tf_hi_expenditures,-554.594
FY2029,tf_hi_expenditures,-537.397
FY2030,tf_hi_expenditures,-589.756
FY2031,tf_hi_expenditures,-619.3
FY2031,tf_hi_expenditures,-2804.062
FY2032,tf_hi_expenditures,-650.489
FY2033,tf_hi_expenditures,-720.584
FY2034,tf_hi_expenditures,-729.625
FY2035,tf_hi_expenditures,-730.153
FY2036,tf_hi_expenditures,-797.311
FY2036,tf_hi_expenditures,-6432.224
FY2025,tf_hi_income_excl_interest,459.019
FY2026,tf_hi_income_excl_interest,487.94500000000005
FY2027,tf_hi_income_excl_interest,511.54
FY2028,tf_hi_income_excl_interest,535.012
FY2029,tf_hi_income_excl_interest,558.982
FY2030,tf_hi_income_excl_interest,583.991
FY2031,tf_hi_income_excl_interest,608.468
FY2031,tf_hi_income_excl_interest,2797.9929999999995
FY2032,tf_hi_income_excl_interest,633.485
FY2033,tf_hi_income_excl_interest,659.757
FY2034,tf_hi_income_excl_interest,687.122
FY2035,tf_hi_income_excl_interest,715.671
FY2036,tf_hi_income_excl_interest,745.4
FY2036,tf_hi_income_excl_interest,6239.428
FY2025,tf_hi_interest,8.347
FY2026,tf_hi_interest,10.643
FY2027,tf_hi_interest,11.916
FY2028,tf_hi_interest,12.36
FY2029,tf_hi_interest,13.022
FY2030,tf_hi_interest,13.978
FY2031,tf_hi_interest,14.257
FY2031,tf_hi_interest,65.533
FY2032,tf_hi_interest,14.298
FY2033,tf_hi_interest,13.247
FY2034,tf_hi_interest,11.59
FY2035,tf_hi_interest,10.87
FY2036,tf_hi_interest,9.907
FY2036,tf_hi_interest,125.44500000000001
FY2025,tf_hi_noninterest_surplus,9.19
FY2026,tf_hi_noninterest_surplus,13.585
FY2027,tf_hi_noninterest_surplus,8.525
FY2028,tf_hi_noninterest_surplus,-19.582
FY2029,tf_hi_noninterest_surplus,21.585
FY2030,tf_hi_noninterest_surplus,-5.765
FY2031,tf_hi_noninterest_surplus,-10.832
FY2031,tf_hi_noninterest_surplus,-6.069
FY2032,tf_hi_noninterest_surplus,-17.004
FY2033,tf_hi_noninterest_surplus,-60.827
FY2034,tf_hi_noninterest_surplus,-42.503
FY2035,tf_hi_noninterest_surplus,-14.482
FY2036,tf_hi_noninterest_surplus,-51.911
FY2036,tf_hi_noninterest_surplus,-192.796
FY2025,tf_hi_total_surplus,17.908000000000015
FY2026,tf_hi_total_surplus,24.228000000000037
FY2027,tf_hi_total_surplus,20.441000000000034
FY2028,tf_hi_total_surplus,-7.222000000000108
FY2029,tf_hi_total_surplus,34.60699999999992
FY2030,tf_hi_total_surplus,8.213000000000013
FY2031,tf_hi_total_surplus,3.425000000000006
FY2031,tf_hi_total_surplus,59.46399999999987
FY2032,tf_hi_total_surplus,-2.706000000000019
FY2033,tf_hi_total_surplus,-47.58
FY2034,tf_hi_total_surplus,-30.913000000000043
FY2035,tf_hi_total_surplus,-3.6119999999999717
FY2036,tf_hi_total_surplus,-42.00400000000006
FY2036,tf_hi_total_surplus,-67.35100000000021
FY2025,tf_oasi_begin_balance,2582.325
FY2026,tf_oasi_begin_balance,2400.808
FY2027,tf_oasi_begin_balance,2193.996
FY2028,tf_oasi_begin_balance,1933.547
FY2029,tf_oasi_begin_balance,1620.819
FY2030,tf_oasi_begin_balance,1259.626
FY2031,tf_oasi_begin_balance,848.62
FY2032,tf_oasi_begin_balance,383.772
FY2033,tf_oasi_begin_balance,0.0
FY2034,tf_oasi_begin_balance,0.0
FY2035,tf_oasi_begin_balance,0.0
FY2036,tf_oasi_begin_balance,0.0
FY2025,tf_oasi_end_balance,2400.808
FY2026,tf_oasi_end_balance,2193.996
FY2027,tf_oasi_end_balance,1933.547
FY2028,tf_oasi_end_balance,1620.819
FY2029,tf_oasi_end_balance,1259.626
FY2030,tf_oasi_end_balance,848.62
FY2031,tf_oasi_end_balance,383.772
FY2032,tf_oasi_end_balance,0.0
FY2033,tf_oasi_end_balance,0.0
FY2034,tf_oasi_end_balance,0.0
FY2035,tf_oasi_end_balance,0.0
FY2036,tf_oasi_end_balance,0.0
FY2025,tf_oasi_expenditures,-1421.591
FY2026,tf_oasi_expenditures,-1506.316
FY2027,tf_oasi_expenditures,-1601.666
FY2028,tf_oasi_expenditures,-1700.805
FY2029,tf_oasi_expenditures,-1798.133
FY2030,tf_oasi_expenditures,-1895.973
FY2031,tf_oasi_expenditures,-1996.297
FY2031,tf_oasi_expenditures,-8992.874
FY2032,tf_oasi_expenditures,-2098.179
FY2033,tf_oasi_expenditures,-2200.932
FY2034,tf_oasi_expenditures,-2303.589
FY2035,tf_oasi_expenditures,-2407.055
FY2036,tf_oasi_expenditures,-2512.279
FY2036,tf_oasi_expenditures,-20514.908
FY2025,tf_oasi_income_excl_interest,1176.451
FY2026,tf_oasi_income_excl_interest,1241.2099999999998
FY2027,tf_oasi_income_excl_interest,1291.613
FY2028,tf_oasi_income_excl_interest,1342.164
FY2029,tf_oasi_income_excl_interest,1399.456
FY2030,tf_oasi_income_excl_interest,1456.994
FY2031,tf_oasi_income_excl_interest,1514.344
FY2031,tf_oasi_income_excl_interest,7004.571
FY2032,tf_oasi_income_excl_interest,1572.322
FY2033,tf_oasi_income_excl_interest,1631.731
FY2034,tf_oasi_income_excl_interest,1692.48
FY2035,tf_oasi_income_excl_interest,1755.68
FY2036,tf_oasi_income_excl_interest,1820.995
FY2036,tf_oasi_income_excl_interest,15477.778999999999
FY2025,tf_oasi_interest,63.71
FY2026,tf_oasi_interest,58.294
FY2027,tf_oasi_interest,49.604
FY2028,tf_oasi_interest,45.913
FY2029,tf_oasi_interest,37.484
FY2030,tf_oasi_interest,27.973
FY2031,tf_oasi_interest,17.105
FY2031,tf_oasi_interest,178.07899999999998
FY2032,tf_oasi_interest,0.427
FY2033,tf_oasi_interest,0.0
FY2034,tf_oasi_interest,0.0
FY2035,tf_oasi_interest,0.0
FY2036,tf_oasi_interest,0.0
FY2036,tf_oasi_interest,178.50599999999997
FY2025,tf_oasi_noninterest_surplus,-245.13999999999987
FY2026,tf_oasi_noninterest_surplus,-265.1060000000002
FY2027,tf_oasi_noninterest_surplus,-310.0529999999999
FY2028,tf_oasi_noninterest_surplus,-358.6410000000001
FY2029,tf_oasi_noninterest_surplus,-398.67700000000013
FY2030,tf_oasi_noninterest_surplus,-438.97900000000004
FY2031,tf_oasi_noninterest_surplus,-481.953
FY2031,tf_oasi_noninterest_surplus,-1988.303
FY2032,tf_oasi_noninterest_surplus,-525.8570000000002
FY2033,tf_oasi_noninterest_surplus,-569.2009999999998
FY2034,tf_oasi_noninterest_surplus,-611.1089999999999
FY2035,tf_oasi_noninterest_surplus,-651.3749999999998
FY2036,tf_oasi_noninterest_surplus,-691.2840000000001
FY2036,tf_oasi_noninterest_surplus,-5037.128999999999
FY2025,tf_oasi_total_surplus,-181.5166308502594
FY2026,tf_oasi_total_surplus,-206.81200000000024
FY2027,tf_oasi_total_surplus,-260.4489999999999
FY2028,tf_oasi_total_surplus,-312.72800000000007
FY2029,tf_oasi_total_surplus,-361.19300000000015
FY2030,tf_oasi_total_surplus,-411.00600000000003
FY2031,tf_oasi_total_surplus,-464.84799999999996
FY2031,tf_oasi_total_surplus,-1810.2240000000002
FY2032,tf_oasi_total_surplus,-525.4300000000002
FY2033,tf_oasi_total_surplus,-569.2009999999998
FY2034,tf_oasi_total_surplus,-611.1089999999999
FY2035,tf_oasi_total_surplus,-651.3749999999998
FY2036,tf_oasi_total_surplus,-691.2840000000001
FY2036,tf_oasi_total_surplus,-4858.623
FY2025,tf_sur_airport,1.894000000000002
FY2025,tf_sur_airport,0.0
FY2026,tf_sur_airport,2.865
FY2026,tf_sur_airport,0.0
FY2027,tf_sur_airport,2.024
FY2027,tf_sur_airport,0.0
FY2028,tf_sur_airport,2.329
FY2028,tf_sur_airport,0.0
FY2029,tf_sur_airport,2.633
FY2029,tf_sur_airport,23.5
FY2030,tf_sur_airport,2.957
FY2030,tf_sur_airport,24.394
FY2031,tf_sur_airport,3.32
FY2031,tf_sur_airport,13.263
FY2031,tf_sur_airport,25.32
FY2031,tf_sur_airport,73.214
FY2032,tf_sur_airport,3.712
FY2032,tf_sur_airport,26.275
FY2033,tf_sur_airport,4.122
FY2033,tf_sur_airport,27.268
FY2034,tf_sur_airport,4.59
FY2034,tf_sur_airport,28.304
FY2035,tf_sur_airport,5.087
FY2035,tf_sur_airport,29.382
FY2036,tf_sur_airport,5.616
FY2036,tf_sur_airport,36.39
FY2036,tf_sur_airport,30.502
FY2036,tf_sur_airport,214.94500000000002
FY2025,tf_sur_civilian_retirement,34.86900000000014
FY2026,tf_sur_civilian_retirement,31.774
FY2027,tf_sur_civilian_retirement,31.933
FY2028,tf_sur_civilian_retirement,33.16
FY2029,tf_sur_civilian_retirement,34.521
FY2030,tf_sur_civilian_retirement,35.648
FY2031,tf_sur_civilian_retirement,34.998
FY2031,tf_sur_civilian_retirement,170.26
FY2032,tf_sur_civilian_retirement,34.204
FY2033,tf_sur_civilian_retirement,33.473
FY2034,tf_sur_civilian_retirement,32.717
FY2035,tf_sur_civilian_retirement,31.865
FY2036,tf_sur_civilian_retirement,30.586
FY2036,tf_sur_civilian_retirement,333.105
FY2025,tf_sur_di,37.491
FY2026,tf_sur_di,41.089
FY2027,tf_sur_di,43.591
FY2028,tf_sur_di,46.144
FY2029,tf_sur_di,50.724
FY2030,tf_sur_di,55.513
FY2031,tf_sur_di,60.373
FY2031,tf_sur_di,256.345
FY2032,tf_sur_di,65.459
FY2033,tf_sur_di,70.116
FY2034,tf_sur_di,74.469
FY2035,tf_sur_di,78.568
FY2036,tf_sur_di,83.629
FY2036,tf_sur_di,628.586
FY2025,tf_sur_hi,17.908000000000015
FY2026,tf_sur_hi,24.228
FY2027,tf_sur_hi,20.442
FY2028,tf_sur_hi,-7.223
FY2029,tf_sur_hi,34.607
FY2030,tf_sur_hi,8.214
FY2031,tf_sur_hi,3.425
FY2031,tf_sur_hi,59.464999999999996
FY2032,tf_sur_hi,-2.706
FY2033,tf_sur_hi,-47.58
FY2034,tf_sur_hi,-30.913
FY2035,tf_sur_hi,-3.611
FY2036,tf_sur_hi,-42.004
FY2036,tf_sur_hi,-67.349
FY2025,tf_sur_highway,-26.021
FY2025,tf_sur_highway,0.0
FY2026,tf_sur_highway,-24.345
FY2026,tf_sur_highway,0.0
FY2027,tf_sur_highway,-32.795
FY2027,tf_sur_highway,-2.735999999999997
FY2028,tf_sur_highway,-34.089
FY2028,tf_sur_highway,-19.552000000000003
FY2029,tf_sur_highway,-33.256
FY2029,tf_sur_highway,-33.256
FY2030,tf_sur_highway,-32.811
FY2030,tf_sur_highway,-32.811
FY2031,tf_sur_highway,-32.697
FY2031,tf_sur_highway,-165.648
FY2031,tf_sur_highway,-32.697
FY2031,tf_sur_highway,-121.05199999999999
FY2032,tf_sur_highway,-32.94
FY2032,tf_sur_highway,-32.94
FY2033,tf_sur_highway,-33.852000000000004
FY2033,tf_sur_highway,-33.852000000000004
FY2034,tf_sur_highway,-34.522
FY2034,tf_sur_highway,-34.522
FY2035,tf_sur_highway,-35.711
FY2035,tf_sur_highway,-35.711
FY2036,tf_sur_highway,-36.911
FY2036,tf_sur_highway,-339.584
FY2036,tf_sur_highway,-36.911
FY2036,tf_sur_highway,-294.988
FY2025,tf_sur_intragov_transfers,-1197.725
FY2026,tf_sur_intragov_transfers,-1305.927
FY2027,tf_sur_intragov_transfers,-1239.309
FY2028,tf_sur_intragov_transfers,-1322.88
FY2029,tf_sur_intragov_transfers,-1327.596
FY2030,tf_sur_intragov_transfers,-1402.125
FY2031,tf_sur_intragov_transfers,-1467.681
FY2031,tf_sur_intragov_transfers,-6759.591
FY2032,tf_sur_intragov_transfers,-1538.474
FY2033,tf_sur_intragov_transfers,-1681.602
FY2034,tf_sur_intragov_transfers,-1726.303
FY2035,tf_sur_intragov_transfers,-1766.195
FY2036,tf_sur_intragov_transfers,-1943.755
FY2036,tf_sur_intragov_transfers,-15415.920000000002
FY2025,tf_sur_medicare_total,7.339782000000071
FY2026,tf_sur_medicare_total,38.2
FY2027,tf_sur_medicare_total,42.985
FY2028,tf_sur_medicare_total,-9.074
FY2029,tf_sur_medicare_total,63.172
FY2030,tf_sur_medicare_total,26.558999999999997
FY2031,tf_sur_medicare_total,25.157
FY2031,tf_sur_medicare_total,148.799
FY2032,tf_sur_medicare_total,24.372
FY2033,tf_sur_medicare_total,-53.86
FY2034,tf_sur_medicare_total,-13.802
FY2035,tf_sur_medicare_total,55.019000000000005
FY2036,tf_sur_medicare_total,-0.66
FY2036,tf_sur_medicare_total,159.868
FY2025,tf_sur_military_retirement,207.77800000000002
FY2026,tf_sur_military_retirement,209.238
FY2027,tf_sur_military_retirement,68.26
FY2028,tf_sur_military_retirement,61.464
FY2029,tf_sur_military_retirement,73.033
FY2030,tf_sur_military_retirement,67.839
FY2031,tf_sur_military_retirement,70.38
FY2031,tf_sur_military_retirement,340.976
FY2032,tf_sur_military_retirement,74.573
FY2033,tf_sur_military_retirement,64.767
FY2034,tf_sur_military_retirement,76.595
FY2035,tf_sur_military_retirement,88.143
FY2036,tf_sur_military_retirement,81.675
FY2036,tf_sur_military_retirement,726.7289999999999
FY2025,tf_sur_net_budget_effect,-1112.721999999999
FY2026,tf_sur_net_budget_effect,-1206.3999999999999
FY2027,tf_sur_net_budget_effect,-1341.762
FY2028,tf_sur_net_budget_effect,-1537.4430000000002
FY2029,tf_sur_net_budget_effect,-1509.818
FY2030,tf_sur_net_budget_effect,-1648.463
FY2031,tf_sur_net_budget_effect,-1761.313
FY2031,tf_sur_net_budget_effect,-7798.799
FY2032,tf_sur_net_budget_effect,-1884.0569999999998
FY2033,tf_sur_net_budget_effect,-2155.277
FY2034,tf_sur_net_budget_effect,-2186.4040000000005
FY2035,tf_sur_net_budget_effect,-2182.761
FY2036,tf_sur_net_budget_effect,-2457.933
FY2036,tf_sur_net_budget_effect,-18665.231
FY2025,tf_sur_oasi,-181.517
FY2025,tf_sur_oasi,0.0
FY2026,tf_sur_oasi,-206.812
FY2026,tf_sur_oasi,0.0
FY2027,tf_sur_oasi,-260.448
FY2027,tf_sur_oasi,0.0
FY2028,tf_sur_oasi,-312.728
FY2028,tf_sur_oasi,0.0
FY2029,tf_sur_oasi,-361.193
FY2029,tf_sur_oasi,0.0
FY2030,tf_sur_oasi,-411.005
FY2030,tf_sur_oasi,0.0
FY2031,tf_sur_oasi,-464.848
FY2031,tf_sur_oasi,-1810.2219999999998
FY2031,tf_sur_oasi,0.0
FY2031,tf_sur_oasi,0.0
FY2032,tf_sur_oasi,-525.43
FY2032,tf_sur_oasi,-141.65599999999978
FY2033,tf_sur_oasi,-569.201
FY2033,tf_sur_oasi,-569.201
FY2034,tf_sur_oasi,-611.109
FY2034,tf_sur_oasi,-611.109
FY2035,tf_sur_oasi,-651.375
FY2035,tf_sur_oasi,-651.375
FY2036,tf_sur_oasi,-691.284
FY2036,tf_sur_oasi,-4858.620999999999
FY2036,tf_sur_oasi,-691.284
FY2036,tf_sur_oasi,-2664.625
FY2025,tf_sur_other,-12.106060268600075
FY2025,tf_sur_other,0.0
FY2026,tf_sur_other,3.635
FY2026,tf_sur_other,0.332
FY2027,tf_sur_other,4.281999999999999
FY2027,tf_sur_other,0.445
FY2028,tf_sur_other,4.393
FY2028,tf_sur_other,0.443
FY2029,tf_sur_other,4.47
FY2029,tf_sur_other,1.011
FY2030,tf_sur_other,4.1819999999999995
FY2030,tf_sur_other,1.744
FY2031,tf_sur_other,4.276
FY2031,tf_sur_other,21.602999999999998
FY2031,tf_sur_other,1.786
FY2031,tf_sur_other,5.429
