date,variable,value
FY2025,tf_bal_airport,18.571
FY2026,tf_bal_airport,21.436
FY2027,tf_bal_airport,23.46
FY2028,tf_bal_airport,25.789
FY2029,tf_bal_airport,28.422
FY2030,tf_bal_airport,31.379
FY2031,tf_bal_airport,34.699
FY2032,tf_bal_airport,38.411
FY2033,tf_bal_airport,42.533
FY2034,tf_bal_airport,47.123
FY2035,tf_bal_airport,52.21
FY2036,tf_bal_airport,57.826
FY2025,tf_bal_civilian_retirement,1130.982
FY2026,tf_bal_civilian_retirement,1162.756
FY2027,tf_bal_civilian_retirement,1194.689
FY2028,tf_bal_civilian_retirement,1227.849
FY2029,tf_bal_civilian_retirement,1262.37
FY2030,tf_bal_civilian_retirement,1298.018
FY2031,tf_bal_civilian_retirement,1333.016
FY2032,tf_bal_civilian_retirement,1367.22
FY2033,tf_bal_civilian_retirement,1400.693
FY2034,tf_bal_civilian_retirement,1433.41
FY2035,tf_bal_civilian_retirement,1465.275
FY2036,tf_bal_civilian_retirement,1495.861
FY2025,tf_bal_di,215.352
FY2026,tf_bal_di,256.441
FY2027,tf_bal_di,300.033
FY2028,tf_bal_di,346.176
FY2029,tf_bal_di,396.9
FY2030,tf_bal_di,452.413
FY2031,tf_bal_di,512.786
FY2032,tf_bal_di,578.246
FY2033,tf_bal_di,648.361
FY2034,tf_bal_di,722.83
FY2035,tf_bal_di,801.398
FY2036,tf_bal_di,885.027
FY2025,tf_bal_hi,252.906
FY2026,tf_bal_hi,277.134
FY2027,tf_bal_hi,297.576
FY2028,tf_bal_hi,290.353
FY2029,tf_bal_hi,324.96
FY2030,tf_bal_hi,333.174
FY2031,tf_bal_hi,336.599
FY2032,tf_bal_hi,333.892
FY2033,tf_bal_hi,286.313
FY2034,tf_bal_hi,255.399
FY2035,tf_bal_hi,251.788
FY2036,tf_bal_hi,209.784
FY2025,tf_bal_highway,68.941
FY2026,tf_bal_highway,44.596
FY2027,tf_bal_highway,14.537
FY2028,tf_bal_highway,0.0
FY2029,tf_bal_highway,0.0
FY2030,tf_bal_highway,0.0
FY2031,tf_bal_highway,0.0
FY2032,tf_bal_highway,0.0
FY2033,tf_bal_highway,0.0
FY2034,tf_bal_highway,0.0
FY2035,tf_bal_highway,0.0
FY2036,tf_bal_highway,0.0
FY2025,tf_bal_medicare_total,406.75
FY2026,tf_bal_medicare_total,444.95000000000005
FY2027,tf_bal_medicare_total,487.93500000000006
FY2028,tf_bal_medicare_total,478.861
FY2029,tf_bal_medicare_total,542.0319999999999
FY2030,tf_bal_medicare_total,568.592
FY2031,tf_bal_medicare_total,593.749
FY2032,tf_bal_medicare_total,618.12
FY2033,tf_bal_medicare_total,564.261
FY2034,tf_bal_medicare_total,550.4580000000001
FY2035,tf_bal_medicare_total,605.476
FY2036,tf_bal_medicare_total,604.817
FY2025,tf_bal_military_retirement,1806.919
