STRUCTURE[;],STRUCTURE_ID,ACTION,COUNTRY,SECTOR,GFS_GRP,INDICATOR,TYPE_OF_TRANSFORMATION,FREQUENCY,TIME_PERIOD,OBS_VALUE,SCALE,PRECISION,DECIMALS_DISPLAYED,INSTR_ASSET,GFS_STO,COFOG,CURRENCY,INT_TTC,COUNTERPART_SECTOR,GFS_DF,ACCOUNTING_ENTRY,FLOW_STOCK_ENTRY,FI_MATURITY,GFS_RB,STATISTICAL_MEASURES,GFS_COMPONENT,TRANSFORMATION,ACCOUNTS,UNIT,DERIVATION_TYPE,OVERLAP,STATUS,NATURE_OF_DATA,BASES_OF_RECORDING_CASH_NON_CASH,BASES_OF_RECORDING_GROSS_NET,VALUATION
dataflow,IMF.STA:GFS_COFOG(11.0.0),R,AUS,S13,G2MF,GF01_T,POGDP_PT,A,2022,3.42411606076791,0,,,,,,,,,,,,,,,,POGDP,,PT,O,,,A,AC,NP,_Z
dataflow,IMF.STA:GFS_COFOG(11.0.0),R,AUS,S13,G2MF,GF02_T,POGDP_PT,A,2022,2.0388546153331,0,,,,,,,,,,,,,,,,POGDP,,PT,O,,,A,AC,NP,_Z
dataflow,IMF.STA:GFS_COFOG(11.0.0),R,AUS,S13,G2MF,GF03_T,POGDP_PT,A,2022,1.83341745190949,0,,,,,,,,,,,,,,,,POGDP,,PT,O,,,A,AC,NP,_Z
dataflow,IMF.STA:GFS_COFOG(11.0.0),R,AUS,S13,G2MF,GF04_T,POGDP_PT,A,2022,5.10730426914024,0,,,,,,,,,,,,,,,,POGDP,,PT,O,,,A,AC,NP,_Z
dataflow,IMF.STA:GFS_COFOG(11.0.0),R,AUS,S13,G2MF,GF05_T,POGDP_PT,A,2022,0.793246340025252,0,,,,,,,,,,,,,,,,POGDP,,PT,O,,,A,AC,NP,_Z
dataflow,IMF.STA:GFS_COFOG(11.0.0),R,AUS,S13,G2MF,GF06_T,POGDP_PT,A,2022,0.605817085381172,0,,,,,,,,,,,,,,,,POGDP,,PT,O,,,A,AC,NP,_Z
dataflow,IMF.STA:GFS_COFOG(11.0.0),R,AUS,S13,G2MF,GF07_T,POGDP_PT,A,2022,7.45678510235516,0,,,,,,,,,,,,,,,,POGDP,,PT,O,,,A,AC,NP,_Z
dataflow,IMF.STA:GFS_COFOG(11.0.0),R,AUS,S13,G2MF,GF08_T,POGDP_PT,A,2022,0.780710222122042,0,,,,,,,,,,,,,,,,POGDP,,PT,O,,,A,AC,NP,_Z
dataflow,IMF.STA:GFS_COFOG(11.0.0),R,AUS,S13,G2MF,GF09_T,POGDP_PT,A,2022,5.2067765271605,0,,,,,,,,,,,,,,,,POGDP,,PT,O,,,A,AC,NP,_Z
dataflow,IMF.STA:GFS_COFOG(11.0.0),R,AUS,S13,G2MF,GF10_T,POGDP_PT,A,2022,10.0916974148647,0,,,,,,,,,,,,,,,,POGDP,,PT,O,,,A,AC,NP,_Z
dataflow,IMF.STA:GFS_COFOG(11.0.0),R,CAN,S13,G2MF,GF01_T,POGDP_PT,A,2022,5.044195949406161,0,,,,,,,,,,,,,,,,POGDP,,PT,O,,,A,AC,NP,_Z
dataflow,IMF.STA:GFS_COFOG(11.0.0),R,CAN,S13,G2MF,GF02_T,POGDP_PT,A,2022,0.785004244214189,0,,,,,,,,,,,,,,,,POGDP,,PT,O,,,A,AC,NP,_Z
dataflow,IMF.STA:GFS_COFOG(11.0.0),R,CAN,S13,G2MF,GF03_T,POGDP_PT,A,2022,1.650122415764625,0,,,,,,,,,,,,,,,,POGDP,,PT,O,,,A,AC,NP,_Z
dataflow,IMF.STA:GFS_COFOG(11.0.0),R,CAN,S13,G2MF,GF04_T,POGDP_PT,A,2022,3.43563877177352,0,,,,,,,,,,,,,,,,POGDP,,PT,O,,,A,AC,NP,_Z
dataflow,IMF.STA:GFS_COFOG(11.0.0),R,CAN,S13,G2MF,GF05_T,POGDP_PT,A,2022,0.9220818396739321,0,,,,,,,,,,,,,,,,POGDP,,PT,O,,,A,AC,NP,_Z
dataflow,IMF.STA:GFS_COFOG(11.0.0),R,CAN,S13,G2MF,GF06_T,POGDP_PT,A,2022,0.5634282026279052,0,,,,,,,,,,,,,,,,POGDP,,PT,O,,,A,AC,NP,_Z
dataflow,IMF.STA:GFS_COFOG(11.0.0),R,CAN,S13,G2MF,GF07_T,POGDP_PT,A,2022,8.411716837253678,0,,,,,,,,,,,,,,,,POGDP,,PT,O,,,A,AC,NP,_Z
dataflow,IMF.STA:GFS_COFOG(11.0.0),R,CAN,S13,G2MF,GF08_T,POGDP_PT,A,2022,0.7966144499708868,0,,,,,,,,,,,,,,,,POGDP,,PT,O,,,A,AC,NP,_Z
dataflow,IMF.STA:GFS_COFOG(11.0.0),R,CAN,S13,G2MF,GF09_T,POGDP_PT,A,2022,4.382870211228577,0,,,,,,,,,,,,,,,,POGDP,,PT,O,,,A,AC,NP,_Z
dataflow,IMF.STA:GFS_COFOG(11.0.0),R,CAN,S13,G2MF,GF10_T,POGDP_PT,A,2022,11.26053161413429,0,,,,,,,,,,,,,,,,POGDP,,PT,O,,,A,AC,NP,_Z
dataflow,IMF.STA:GFS_COFOG(11.0.0),R,DEU,S13,G2MF,GF01_T,POGDP_PT,A,2022,5.800686320465034,0,,,,,,,,,,,,,,,,POGDP,,PT,O,,,P,AC,NP,_Z
dataflow,IMF.STA:GFS_COFOG(11.0.0),R,DEU,S13,G2MF,GF02_T,POGDP_PT,A,2022,1.15481314185878,0,,,,,,,,,,,,,,,,POGDP,,PT,O,,,P,AC,NP,_Z
dataflow,IMF.STA:GFS_COFOG(11.0.0),R,DEU,S13,G2MF,GF03_T,POGDP_PT,A,2022,1.578988266376564,0,,,,,,,,,,,,,,,,POGDP,,PT,O,,,P,AC,NP,_Z
dataflow,IMF.STA:GFS_COFOG(11.0.0),R,DEU,S13,G2MF,GF04_T,POGDP_PT,A,2022,5.595968305931483,0,,,,,,,,,,,,,,,,POGDP,,PT,O,,,P,AC,NP,_Z
dataflow,IMF.STA:GFS_COFOG(11.0.0),R,DEU,S13,G2MF,GF05_T,POGDP_PT,A,2022,0.5138128886872429,0,,,,,,,,,,,,,,,,POGDP,,PT,O,,,P,AC,NP,_Z
dataflow,IMF.STA:GFS_COFOG(11.0.0),R,DEU,S13,G2MF,GF06_T,POGDP_PT,A,2022,0.4707235943339709,0,,,,,,,,,,,,,,,,POGDP,,PT,O,,,P,AC,NP,_Z
dataflow,IMF.STA:GFS_COFOG(11.0.0),R,DEU,S13,G2MF,GF07_T,POGDP_PT,A,2022,8.25206359869554,0,,,,,,,,,,,,,,,,POGDP,,PT,O,,,P,AC,NP,_Z
dataflow,IMF.STA:GFS_COFOG(11.0.0),R,DEU,S13,G2MF,GF08_T,POGDP_PT,A,2022,0.9971950598963751,0,,,,,,,,,,,,,,,,POGDP,,PT,O,,,P,AC,NP,_Z
dataflow,IMF.STA:GFS_COFOG(11.0.0),R,DEU,S13,G2MF,GF09_T,POGDP_PT,A,2022,4.360892266737521,0,,,,,,,,,,,,,,,,POGDP,,PT,O,,,P,AC,NP,_Z
dataflow,IMF.STA:GFS_COFOG(11.0.0),R,DEU,S13,G2MF,GF10_T,POGDP_PT,A,2022,19.84726988336563,0,,,,,,,,,,,,,,,,POGDP,,PT,O,,,P,AC,NP,_Z
dataflow,IMF.STA:GFS_COFOG(11.0.0),R,FRA,S13,G2MF,GF01_T,POGDP_PT,A,2022,6.513079777889498,0,,,,,,,,,,,,,,,,POGDP,,PT,O,,,P,AC,NP,_Z
dataflow,IMF.STA:GFS_COFOG(11.0.0),R,FRA,S13,G2MF,GF02_T,POGDP_PT,A,2022,1.795374392519493,0,,,,,,,,,,,,,,,,POGDP,,PT,O,,,P,AC,NP,_Z
dataflow,IMF.STA:GFS_COFOG(11.0.0),R,FRA,S13,G2MF,GF03_T,POGDP_PT,A,2022,1.712506613793973,0,,,,,,,,,,,,,,,,POGDP,,PT,O,,,P,AC,NP,_Z
dataflow,IMF.STA:GFS_COFOG(11.0.0),R,FRA,S13,G2MF,GF04_T,POGDP_PT,A,2022,6.770593141989919,0,,,,,,,,,,,,,,,,POGDP,,PT,O,,,P,AC,NP,_Z
dataflow,IMF.STA:GFS_COFOG(11.0.0),R,FRA,S13,G2MF,GF05_T,POGDP_PT,A,2022,1.022928446751662,0,,,,,,,,,,,,,,,,POGDP,,PT,O,,,P,AC,NP,_Z
dataflow,IMF.STA:GFS_COFOG(11.0.0),R,FRA,S13,G2MF,GF06_T,POGDP_PT,A,2022,1.194670553035567,0,,,,,,,,,,,,,,,,POGDP,,PT,O,,,P,AC,NP,_Z
dataflow,IMF.STA:GFS_COFOG(11.0.0),R,FRA,S13,G2MF,GF07_T,POGDP_PT,A,2022,9.067166019879982,0,,,,,,,,,,,,,,,,POGDP,,PT,O,,,P,AC,NP,_Z
dataflow,IMF.STA:GFS_COFOG(11.0.0),R,FRA,S13,G2MF,GF08_T,POGDP_PT,A,2022,1.448534797500221,0,,,,,,,,,,,,,,,,POGDP,,PT,O,,,P,AC,NP,_Z
dataflow,IMF.STA:GFS_COFOG(11.0.0),R,FRA,S13,G2MF,GF09_T,POGDP_PT,A,2022,5.046890622440391,0,,,,,,,,,,,,,,,,POGDP,,PT,O,,,P,AC,NP,_Z
dataflow,IMF.STA:GFS_COFOG(11.0.0),R,FRA,S13,G2MF,GF10_T,POGDP_PT,A,2022,23.80138847307503,0,,,,,,,,,,,,,,,,POGDP,,PT,O,,,P,AC,NP,_Z
dataflow,IMF.STA:GFS_COFOG(11.0.0),R,GBR,S13,G2MF,GF01_T,POGDP_PT,A,2022,6.32703564083362,0,,,,,,,,,,,,,,,,POGDP,,PT,O,,,P,AC,NP,_Z
dataflow,IMF.STA:GFS_COFOG(11.0.0),R,GBR,S13,G2MF,GF02_T,POGDP_PT,A,2022,2.191156842783566,0,,,,,,,,,,,,,,,,POGDP,,PT,O,,,P,AC,NP,_Z
dataflow,IMF.STA:GFS_COFOG(11.0.0),R,GBR,S13,G2MF,GF03_T,POGDP_PT,A,2022,2.087532278774618,0,,,,,,,,,,,,,,,,POGDP,,PT,O,,,P,AC,NP,_Z
dataflow,IMF.STA:GFS_COFOG(11.0.0),R,GBR,S13,G2MF,GF04_T,POGDP_PT,A,2022,4.666153161697068,0,,,,,,,,,,,,,,,,POGDP,,PT,O,,,P,AC,NP,_Z
dataflow,IMF.STA:GFS_COFOG(11.0.0),R,GBR,S13,G2MF,GF05_T,POGDP_PT,A,2022,0.7121912835038244,0,,,,,,,,,,,,,,,,POGDP,,PT,O,,,P,AC,NP,_Z
dataflow,IMF.STA:GFS_COFOG(11.0.0),R,GBR,S13,G2MF,GF06_T,POGDP_PT,A,2022,0.7145265964436746,0,,,,,,,,,,,,,,,,POGDP,,PT,O,,,P,AC,NP,_Z
dataflow,IMF.STA:GFS_COFOG(11.0.0),R,GBR,S13,G2MF,GF07_T,POGDP_PT,A,2022,8.885430338802452,0,,,,,,,,,,,,,,,,POGDP,,PT,O,,,P,AC,NP,_Z
dataflow,IMF.STA:GFS_COFOG(11.0.0),R,GBR,S13,G2MF,GF08_T,POGDP_PT,A,2022,0.6944587377910631,0,,,,,,,,,,,,,,,,POGDP,,PT,O,,,P,AC,NP,_Z
dataflow,IMF.STA:GFS_COFOG(11.0.0),R,GBR,S13,G2MF,GF09_T,POGDP_PT,A,2022,5.021912360059341,0,,,,,,,,,,,,,,,,POGDP,,PT,O,,,P,AC,NP,_Z
dataflow,IMF.STA:GFS_COFOG(11.0.0),R,GBR,S13,G2MF,GF10_T,POGDP_PT,A,2022,15.23000061747257,0,,,,,,,,,,,,,,,,POGDP,,PT,O,,,P,AC,NP,_Z
dataflow,IMF.STA:GFS_COFOG(11.0.0),R,JPN,S13,G2MF,GF01_T,POGDP_PT,A,2022,3.65050804761768,0,,,,,,,,,,,,,,,,POGDP,,PT,O,,,A,AC,NP,_Z
dataflow,IMF.STA:GFS_COFOG(11.0.0),R,JPN,S13,G2MF,GF02_T,POGDP_PT,A,2022,0.9180051119599134,0,,,,,,,,,,,,,,,,POGDP,,PT,O,,,A,AC,NP,_Z
dataflow,IMF.STA:GFS_COFOG(11.0.0),R,JPN,S13,G2MF,GF03_T,POGDP_PT,A,2022,1.212346833405012,0,,,,,,,,,,,,,,,,POGDP,,PT,O,,,A,AC,NP,_Z
dataflow,IMF.STA:GFS_COFOG(11.0.0),R,JPN,S13,G2MF,GF04_T,POGDP_PT,A,2022,5.417699996200546,0,,,,,,,,,,,,,,,,POGDP,,PT,O,,,A,AC,NP,_Z
dataflow,IMF.STA:GFS_COFOG(11.0.0),R,JPN,S13,G2MF,GF05_T,POGDP_PT,A,2022,1.12328264243626,0,,,,,,,,,,,,,,,,POGDP,,PT,O,,,A,AC,NP,_Z
dataflow,IMF.STA:GFS_COFOG(11.0.0),R,JPN,S13,G2MF,GF06_T,POGDP_PT,A,2022,0.6266244671622843,0,,,,,,,,,,,,,,,,POGDP,,PT,O,,,A,AC,NP,_Z
dataflow,IMF.STA:GFS_COFOG(11.0.0),R,JPN,S13,G2MF,GF07_T,POGDP_PT,A,2022,9.135189024608866,0,,,,,,,,,,,,,,,,POGDP,,PT,O,,,A,AC,NP,_Z
dataflow,IMF.STA:GFS_COFOG(11.0.0),R,JPN,S13,G2MF,GF08_T,POGDP_PT,A,2022,0.3959815692600287,0,,,,,,,,,,,,,,,,POGDP,,PT,O,,,A,AC,NP,_Z
dataflow,IMF.STA:GFS_COFOG(11.0.0),R,JPN,S13,G2MF,GF09_T,POGDP_PT,A,2022,3.172169304373528,0,,,,,,,,,,,,,,,,POGDP,,PT,O,,,A,AC,NP,_Z
dataflow,IMF.STA:GFS_COFOG(11.0.0),R,JPN,S13,G2MF,GF10_T,POGDP_PT,A,2022,17.00610534761524,0,,,,,,,,,,,,,,,,POGDP,,PT,O,,,A,AC,NP,_Z
dataflow,IMF.STA:GFS_COFOG(11.0.0),R,KOR,S13,G2MF,GF01_T,POGDP_PT,A,2022,,0,,,,,,,,,,,,,,,,POGDP,,PT,O,,NA,A,AC,NP,_Z
dataflow,IMF.STA:GFS_COFOG(11.0.0),R,KOR,S13,G2MF,GF02_T,POGDP_PT,A,2022,,0,,,,,,,,,,,,,,,,POGDP,,PT,O,,NA,A,AC,NP,_Z
dataflow,IMF.STA:GFS_COFOG(11.0.0),R,KOR,S13,G2MF,GF03_T,POGDP_PT,A,2022,,0,,,,,,,,,,,,,,,,POGDP,,PT,O,,NA,A,AC,NP,_Z
dataflow,IMF.STA:GFS_COFOG(11.0.0),R,KOR,S13,G2MF,GF04_T,POGDP_PT,A,2022,,0,,,,,,,,,,,,,,,,POGDP,,PT,O,,NA,A,AC,NP,_Z
dataflow,IMF.STA:GFS_COFOG(11.0.0),R,KOR,S13,G2MF,GF05_T,POGDP_PT,A,2022,,0,,,,,,,,,,,,,,,,POGDP,,PT,O,,NA,A,AC,NP,_Z
dataflow,IMF.STA:GFS_COFOG(11.0.0),R,KOR,S13,G2MF,GF06_T,POGDP_PT,A,2022,,0,,,,,,,,,,,,,,,,POGDP,,PT,O,,NA,A,AC,NP,_Z
dataflow,IMF.STA:GFS_COFOG(11.0.0),R,KOR,S13,G2MF,GF07_T,POGDP_PT,A,2022,,0,,,,,,,,,,,,,,,,POGDP,,PT,O,,NA,A,AC,NP,_Z
dataflow,IMF.STA:GFS_COFOG(11.0.0),R,KOR,S13,G2MF,GF08_T,POGDP_PT,A,2022,,0,,,,,,,,,,,,,,,,POGDP,,PT,O,,NA,A,AC,NP,_Z
dataflow,IMF.STA:GFS_COFOG(11.0.0),R,KOR,S13,G2MF,GF09_T,POGDP_PT,A,2022,,0,,,,,,,,,,,,,,,,POGDP,,PT,O,,NA,A,AC,NP,_Z
dataflow,IMF.STA:GFS_COFOG(11.0.0),R,KOR,S13,G2MF,GF10_T,POGDP_PT,A,2022,,0,,,,,,,,,,,,,,,,POGDP,,PT,O,,NA,A,AC,NP,_Z
dataflow,IMF.STA:GFS_COFOG(11.0.0),R,NLD,S13,G2MF,GF01_T,POGDP_PT,A,2022,3.632851019299269,0,,,,,,,,,,,,,,,,POGDP,,PT,O,,,P,AC,NP,_Z
dataflow,IMF.STA:GFS_COFOG(11.0.0),R,NLD,S13,G2MF,GF02_T,POGDP_PT,A,2022,1.28977078344167,0,,,,,,,,,,,,,,,,POGDP,,PT,O,,,P,AC,NP,_Z
dataflow,IMF.STA:GFS_COFOG(11.0.0),R,NLD,S13,G2MF,GF03_T,POGDP_PT,A,2022,1.802036586102111,0,,,,,,,,,,,,,,,,POGDP,,PT,O,,,P,AC,NP,_Z
dataflow,IMF.STA:GFS_COFOG(11.0.0),R,NLD,S13,G2MF,GF04_T,POGDP_PT,A,2022,5.631804552132177,0,,,,,,,,,,,,,,,,POGDP,,PT,O,,,P,AC,NP,_Z
dataflow,IMF.STA:GFS_COFOG(11.0.0),R,NLD,S13,G2MF,GF05_T,POGDP_PT,A,2022,1.385260912438872,0,,,,,,,,,,,,,,,,POGDP,,PT,O,,,P,AC,NP,_Z
