STRUCTURE[;],STRUCTURE_ID,ACTION,COUNTRY,SECTOR,GFS_GRP,INDICATOR,TYPE_OF_TRANSFORMATION,FREQUENCY,TIME_PERIOD,OBS_VALUE,SCALE,PRECISION,DECIMALS_DISPLAYED,INSTR_ASSET,GFS_STO,COFOG,CURRENCY,INT_TTC,COUNTERPART_SECTOR,GFS_DF,ACCOUNTING_ENTRY,FLOW_STOCK_ENTRY,FI_MATURITY,GFS_RB,STATISTICAL_MEASURES,GFS_COMPONENT,TRANSFORMATION,ACCOUNTS,UNIT,DERIVATION_TYPE,OVERLAP,STATUS,NATURE_OF_DATA,BASES_OF_RECORDING_CASH_NON_CASH,BASES_OF_RECORDING_GROSS_NET,VALUATION
dataflow,IMF.STA:GFS_COFOG(11.0.0),R,NLD,S13,G2MF,GF06_T,POGDP_PT,A,2022,0.6231510736350647,0,,,,,,,,,,,,,,,,POGDP,,PT,O,,,P,AC,NP,_Z
dataflow,IMF.STA:GFS_COFOG(11.0.0),R,NLD,S13,G2MF,GF07_T,POGDP_PT,A,2022,7.176450463866696,0,,,,,,,,,,,,,,,,POGDP,,PT,O,,,P,AC,NP,_Z
dataflow,IMF.STA:GFS_COFOG(11.0.0),R,NLD,S13,G2MF,GF08_T,POGDP_PT,A,2022,1.122336036706848,0,,,,,,,,,,,,,,,,POGDP,,PT,O,,,P,AC,NP,_Z
dataflow,IMF.STA:GFS_COFOG(11.0.0),R,NLD,S13,G2MF,GF09_T,POGDP_PT,A,2022,4.862651184319092,0,,,,,,,,,,,,,,,,POGDP,,PT,O,,,P,AC,NP,_Z
dataflow,IMF.STA:GFS_COFOG(11.0.0),R,NLD,S13,G2MF,GF10_T,POGDP_PT,A,2022,15.70686844700248,0,,,,,,,,,,,,,,,,POGDP,,PT,O,,,P,AC,NP,_Z
dataflow,IMF.STA:GFS_COFOG(11.0.0),R,POL,S13,G2MF,GF01_T,POGDP_PT,A,2022,4.332531542400682,0,,,,,,,,,,,,,,,,POGDP,,PT,O,,,P,AC,NP,_Z
dataflow,IMF.STA:GFS_COFOG(11.0.0),R,POL,S13,G2MF,GF02_T,POGDP_PT,A,2022,1.602325865563502,0,,,,,,,,,,,,,,,,POGDP,,PT,O,,,P,AC,NP,_Z
dataflow,IMF.STA:GFS_COFOG(11.0.0),R,POL,S13,G2MF,GF03_T,POGDP_PT,A,2022,2.302486166776405,0,,,,,,,,,,,,,,,,POGDP,,PT,O,,,P,AC,NP,_Z
dataflow,IMF.STA:GFS_COFOG(11.0.0),R,POL,S13,G2MF,GF04_T,POGDP_PT,A,2022,6.302227979496847,0,,,,,,,,,,,,,,,,POGDP,,PT,O,,,P,AC,NP,_Z
dataflow,IMF.STA:GFS_COFOG(11.0.0),R,POL,S13,G2MF,GF05_T,POGDP_PT,A,2022,0.6234074728996073,0,,,,,,,,,,,,,,,,POGDP,,PT,O,,,P,AC,NP,_Z
dataflow,IMF.STA:GFS_COFOG(11.0.0),R,POL,S13,G2MF,GF06_T,POGDP_PT,A,2022,0.4950126737834037,0,,,,,,,,,,,,,,,,POGDP,,PT,O,,,P,AC,NP,_Z
dataflow,IMF.STA:GFS_COFOG(11.0.0),R,POL,S13,G2MF,GF07_T,POGDP_PT,A,2022,5.229718471700291,0,,,,,,,,,,,,,,,,POGDP,,PT,O,,,P,AC,NP,_Z
dataflow,IMF.STA:GFS_COFOG(11.0.0),R,POL,S13,G2MF,GF08_T,POGDP_PT,A,2022,1.143550353727215,0,,,,,,,,,,,,,,,,POGDP,,PT,O,,,P,AC,NP,_Z
dataflow,IMF.STA:GFS_COFOG(11.0.0),R,POL,S13,G2MF,GF09_T,POGDP_PT,A,2022,4.537917491588355,0,,,,,,,,,,,,,,,,POGDP,,PT,O,,,P,AC,NP,_Z
dataflow,IMF.STA:GFS_COFOG(11.0.0),R,POL,S13,G2MF,GF10_T,POGDP_PT,A,2022,16.68158236230654,0,,,,,,,,,,,,,,,,POGDP,,PT,O,,,P,AC,NP,_Z
dataflow,IMF.STA:GFS_COFOG(11.0.0),R,SWE,S13,G2MF,GF01_T,POGDP_PT,A,2022,5.116897607890771,0,,,,,,,,,,,,,,,,POGDP,,PT,O,,,P,AC,NP,_Z
dataflow,IMF.STA:GFS_COFOG(11.0.0),R,SWE,S13,G2MF,GF02_T,POGDP_PT,A,2022,1.686623117504511,0,,,,,,,,,,,,,,,,POGDP,,PT,O,,,P,AC,NP,_Z
dataflow,IMF.STA:GFS_COFOG(11.0.0),R,SWE,S13,G2MF,GF03_T,POGDP_PT,A,2022,1.372580876708419,0,,,,,,,,,,,,,,,,POGDP,,PT,O,,,P,AC,NP,_Z
dataflow,IMF.STA:GFS_COFOG(11.0.0),R,SWE,S13,G2MF,GF04_T,POGDP_PT,A,2022,5.048143916828493,0,,,,,,,,,,,,,,,,POGDP,,PT,O,,,P,AC,NP,_Z
dataflow,IMF.STA:GFS_COFOG(11.0.0),R,SWE,S13,G2MF,GF05_T,POGDP_PT,A,2022,0.6227891235408753,0,,,,,,,,,,,,,,,,POGDP,,PT,O,,,P,AC,NP,_Z
dataflow,IMF.STA:GFS_COFOG(11.0.0),R,SWE,S13,G2MF,GF06_T,POGDP_PT,A,2022,0.7271489396819175,0,,,,,,,,,,,,,,,,POGDP,,PT,O,,,P,AC,NP,_Z
dataflow,IMF.STA:GFS_COFOG(11.0.0),R,SWE,S13,G2MF,GF07_T,POGDP_PT,A,2022,7.191250968165098,0,,,,,,,,,,,,,,,,POGDP,,PT,O,,,P,AC,NP,_Z
dataflow,IMF.STA:GFS_COFOG(11.0.0),R,SWE,S13,G2MF,GF08_T,POGDP_PT,A,2022,1.364276792491595,0,,,,,,,,,,,,,,,,POGDP,,PT,O,,,P,AC,NP,_Z
dataflow,IMF.STA:GFS_COFOG(11.0.0),R,SWE,S13,G2MF,GF09_T,POGDP_PT,A,2022,7.181726200761122,0,,,,,,,,,,,,,,,,POGDP,,PT,O,,,P,AC,NP,_Z
dataflow,IMF.STA:GFS_COFOG(11.0.0),R,SWE,S13,G2MF,GF10_T,POGDP_PT,A,2022,19.01413499552559,0,,,,,,,,,,,,,,,,POGDP,,PT,O,,,P,AC,NP,_Z
dataflow,IMF.STA:GFS_COFOG(11.0.0),R,USA,S13,G2MF,GF01_T,POGDP_PT,A,2022,5.722498890790878,0,,,,,,,,,,,,,,,,POGDP,,PT,O,,,A,AC,NP,_Z
dataflow,IMF.STA:GFS_COFOG(11.0.0),R,USA,S13,G2MF,GF02_T,POGDP_PT,A,2022,2.975157308114498,0,,,,,,,,,,,,,,,,POGDP,,PT,O,,,A,AC,NP,_Z
dataflow,IMF.STA:GFS_COFOG(11.0.0),R,USA,S13,G2MF,GF03_T,POGDP_PT,A,2022,1.841680601506068,0,,,,,,,,,,,,,,,,POGDP,,PT,O,,,A,AC,NP,_Z
dataflow,IMF.STA:GFS_COFOG(11.0.0),R,USA,S13,G2MF,GF04_T,POGDP_PT,A,2022,2.999032005864607,0,,,,,,,,,,,,,,,,POGDP,,PT,O,,,A,AC,NP,_Z
dataflow,IMF.STA:GFS_COFOG(11.0.0),R,USA,S13,G2MF,GF05_T,POGDP_PT,A,2022,0,0,,,,,,,,,,,,,,,,POGDP,,PT,O,,,A,AC,NP,_Z
dataflow,IMF.STA:GFS_COFOG(11.0.0),R,USA,S13,G2MF,GF06_T,POGDP_PT,A,2022,0.5123186692561007,0,,,,,,,,,,,,,,,,POGDP,,PT,O,,,A,AC,NP,_Z
dataflow,IMF.STA:GFS_COFOG(11.0.0),R,USA,S13,G2MF,GF07_T,POGDP_PT,A,2022,10.14396123525212,0,,,,,,,,,,,,,,,,POGDP,,PT,O,,,A,AC,NP,_Z
dataflow,IMF.STA:GFS_COFOG(11.0.0),R,USA,S13,G2MF,GF08_T,POGDP_PT,A,2022,0.2558767588065063,0,,,,,,,,,,,,,,,,POGDP,,PT,O,,,A,AC,NP,_Z
dataflow,IMF.STA:GFS_COFOG(11.0.0),R,USA,S13,G2MF,GF09_T,POGDP_PT,A,2022,5.664475255808955,0,,,,,,,,,,,,,,,,POGDP,,PT,O,,,A,AC,NP,_Z
dataflow,IMF.STA:GFS_COFOG(11.0.0),R,USA,S13,G2MF,GF10_T,POGDP_PT,A,2022,8.303453536035863,0,,,,,,,,,,,,,,,,POGDP,,PT,O,,,A,AC,NP,_Z
